pokemon_id,pokemon_name,type,attack,defense,base_hp,pct_catch,pct_flee,fast_moves,charge_moves,img_link,form
16,Pidgey,Normal Flying,120,85,73,50%,20%,Quick AttackTackle,Aerial AceTwisterAir Cutter,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,Normal
17,Pidgeotto,Normal Flying,160,117,105,25%,9%,Wing AttackSteel Wing,Aerial AceTwisterAir Cutter,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,Normal
18,Pidgeot,Normal Flying,195,166,154,12.5%,6%,Steel WingAir Slash,Aerial AceHurricaneBrave Bird,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,Normal
19,Rattata,Normal ,102,103,70,50%,20%,Quick AttackTackle,DigHyper FangBody SlamFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,Normal
19,Rattata Alolan Rattata,Dark Normal,102,103,70,50%,20%,Quick AttackTackle,Shadow BallHyper FangCrunch,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png,Alola
20,Raticate,Normal ,146,161,139,20%,7%,BiteQuick Attack,Hyper BeamDigHyper FangFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,Normal
20,Raticate Alolan Raticate,Dark Normal,181,135,154,20%,7%,BiteQuick Attack,Hyper BeamHyper FangCrunch,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png,Alola
21,Spearow,Normal Flying,120,112,60,50%,15%,PeckQuick Attack,Drill PeckAerial AceSky Attack,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,Normal
22,Fearow,Normal Flying,163,182,133,20%,7%,PeckSteel Wing,Aerial AceDrill RunSky Attack,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png,Normal
23,Ekans,Poison ,111,110,97,50%,15%,AcidPoison Sting,WrapPoison FangSludge Bomb,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png,Normal
24,Arbok,Poison ,155,167,153,20%,7%,BiteAcidDragon Tail,Dark PulseSludge WaveGunk ShotAcid Spray,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png,Normal
25,Pikachu,Electric ,111,112,96,20%,10%,Thunder ShockQuick Attack,DischargeThunderboltWild ChargeSurf (Community Day),https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,Normal
26,Raichu,Electric ,155,193,151,10%,6%,Thunder ShockSparkVolt SwitchCharm,Thunder PunchBrick BreakWild ChargeSkull Bash,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png,Normal
26,Raichu Alolan Raichu,Electric Psychic,155,201,154,10%,6%,Thunder ShockSparkVolt Switch,Thunder PunchPsychicWild ChargeGrass Knot,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png,Alola
27,Sandshrew,Ground ,137,126,120,50%,10%,Mud ShotScratch,DigRock SlideSand TombFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png,Normal
27,Sandshrew Alolan Sandshrew,Ice Steel,137,125,129,50%,10%,Metal ClawPowder Snow,BlizzardNight SlashGyro Ball,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png,Alola
28,Sandslash,Ground ,181,182,175,20%,6%,Mud ShotMetal Claw,EarthquakeRock TombBulldozeFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png,Normal
28,Sandslash Alolan Sandslash,Ice Steel,181,177,195,20%,6%,Metal ClawPowder Snow,Ice PunchBlizzardBulldozeGyro Ball,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png,Alola
29,Nidoran♀,Poison ,146,86,89,50%,15%,BitePoison Sting,Poison FangSludge BombBody Slam,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png,Normal
30,Nidorina,Poison ,172,117,120,25%,7%,BitePoison Sting,DigPoison FangSludge Bomb,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png,Normal
31,Nidoqueen,Poison Ground,207,180,173,12.5%,5%,BitePoison Jab,EarthquakeStone EdgeSludge WaveEarth Power,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png,Normal
32,Nidoran♂,Poison ,130,105,76,50%,15%,PeckPoison Sting,Sludge BombHorn AttackBody Slam,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png,Normal
33,Nidorino,Poison ,156,137,111,25%,7%,Poison JabPoison Sting,DigSludge BombHorn Attack,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png,Normal
34,Nidoking,Poison Ground,191,204,156,12.5%,5%,Poison JabIron Tail,MegahornEarthquakeSludge WaveEarth Power,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png,Normal
35,Clefairy,Fairy ,172,107,108,30%,10%,PoundZen Headbutt,Disarming VoiceMoonblastBody Slam,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png,Normal
36,Clefable,Fairy ,216,178,162,10%,6%,Zen HeadbuttCharge BeamCharm,Dazzling GleamMoonblastPsychicMeteor Mash,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,Normal
37,Vulpix,Fire ,116,96,109,30%,10%,EmberQuick Attack,FlamethrowerFlame ChargeBody Slam,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png,Normal
37,Vulpix Alolan Vulpix,Ice ,116,96,109,30%,10%,Zen HeadbuttPowder Snow,Dark PulseIce BeamBlizzard,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png,Alola
38,Ninetales,Fire ,177,169,190,10%,6%,Feint AttackFire Spin,Heat WavePsyshockSolar BeamOverheat,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png,Normal
38,Ninetales Alolan Ninetales,Ice Fairy,177,170,193,10%,6%,Feint AttackPowder SnowCharm,Ice BeamBlizzardPsyshockDazzling Gleam,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,Alola
39,Jigglypuff,Normal Fairy,251,80,41,50%,10%,PoundFeint Attack,Disarming VoiceDazzling GleamGyro Ball,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png,Normal
40,Wigglytuff,Normal Fairy,295,156,90,20%,6%,PoundFeint AttackCharm,Hyper BeamIce BeamDazzling GleamPlay Rough,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png,Normal
41,Zubat,Poison Flying,120,83,73,50%,20%,BiteQuick Attack,Poison FangAir CutterSwiftFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png,Normal
42,Golbat,Poison Flying,181,161,150,20%,7%,BiteWing Attack,Poison FangShadow BallAir CutterFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png,Normal
43,Oddish,Grass Poison,128,131,112,60%,15%,Razor LeafAcid,Seed BombMoonblastSludge BombFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png,Normal
44,Gloom,Grass Poison,155,153,136,30%,7%,Razor LeafAcid,Petal BlizzardMoonblastSludge BombFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png,Normal
45,Vileplume,Grass Poison,181,202,167,15%,5%,Razor LeafAcid,Petal BlizzardMoonblastSludge BombSolar BeamFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png,Normal
46,Paras,Bug Grass,111,121,99,40%,15%,Bug BiteScratch,Seed BombCross PoisonX-Scissor,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png,Normal
47,Parasect,Bug Grass,155,165,146,20%,7%,Fury CutterStruggle Bug,Cross PoisonX-ScissorSolar Beam,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png,Normal
48,Venonat,Bug Poison,155,100,100,50%,15%,Bug BiteConfusion,PsybeamPoison FangSignal BeamFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png,Normal
49,Venomoth,Bug Poison,172,179,143,20%,7%,ConfusionInfestation,Bug BuzzPoison FangPsychicSilver WindFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png,Normal
50,Diglett,Ground ,67,109,78,50%,10%,ScratchMud-Slap,DigRock TombMud Bomb,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png,Normal
50,Diglett Alolan Diglett,Ground Steel,67,108,81,50%,10%,Metal ClawMud-Slap,DigRock TombMud Bomb,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png,Alola
51,Dugtrio,Ground ,111,167,134,20%,6%,Sucker PunchMud-Slap,EarthquakeStone EdgeMud Bomb,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,Normal
51,Dugtrio Alolan Dugtrio,Ground Steel,111,201,142,20%,6%,Metal ClawMud-Slap,EarthquakeIron HeadMud Bomb,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png,Alola
52,Meowth,Normal ,120,92,78,50%,15%,BiteScratch,Dark PulseNight SlashFoul PlayFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png,Normal
52,Meowth Alolan Meowth,Dark ,120,99,78,50%,15%,BiteScratch,Dark PulseNight SlashFoul Play,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png,Alola
53,Persian,Normal ,163,150,136,20%,7%,ScratchFeint Attack,Power GemPlay RoughFoul PlayFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/persian.png,Normal
53,Persian Alolan Persian,Dark ,163,158,136,20%,7%,ScratchFeint Attack,Dark PulsePlay RoughFoul Play,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png,Alola
54,Psyduck,Water ,137,122,95,50%,10%,Water GunZen Headbutt,Cross ChopPsybeamAqua TailFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png,Normal
55,Golduck,Water ,190,191,162,20%,6%,Water GunConfusion,Cross ChopIce BeamBubble BeamHydro PumpPsychicFrustration (Shadow)Return (Shadow)Synchronoise,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png,Normal
56,Mankey,Fighting ,120,148,82,50%,10%,Karate ChopScratch,Cross ChopLow SweepBrick Break,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png,Normal
57,Primeape,Fighting ,163,207,138,20%,6%,Low KickCounter,Night SlashLow SweepClose Combat,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png,Normal
58,Growlithe,Fire ,146,136,93,30%,10%,BiteEmber,Flame WheelFlamethrowerBody SlamFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png,Normal
59,Arcanine,Fire ,207,227,166,10%,6%,Fire FangSnarlThunder Fang,FlamethrowerFire BlastWild ChargeCrunchFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png,Normal
60,Poliwag,Water ,120,101,82,50%,15%,Mud ShotBubble,Bubble BeamMud BombBody SlamFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png,Normal
61,Poliwhirl,Water ,163,130,123,25%,7%,Mud ShotBubble,Bubble BeamMud BombWater PulseFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png,Normal
62,Poliwrath,Water Fighting,207,182,184,12.5%,5%,Mud ShotBubbleRock Smash,Ice PunchHydro PumpDynamic PunchPower-Up PunchFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png,Normal
63,Abra,Psychic ,93,195,82,50%,99%,Zen HeadbuttCharge Beam,PsyshockShadow BallSignal BeamFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/abra.png,Normal
64,Kadabra,Psychic ,120,232,117,25%,7%,Psycho CutConfusion,PsybeamShadow BallDazzling GleamFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png,Normal
65,Alakazam,Psychic ,146,271,167,10%,5%,Psycho CutConfusion,Shadow BallFire PunchFocus BlastFuture SightFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png,Normal
66,Machop,Fighting ,172,137,82,50%,10%,Karate ChopRock Smash,Cross ChopLow SweepBrick Break,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png,Normal
67,Machoke,Fighting ,190,177,125,25%,7%,Low KickKarate Chop,SubmissionBrick BreakDynamic Punch,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png,Normal
68,Machamp,Fighting ,207,234,159,10%,5%,Bullet PunchCounter,Cross ChopRock SlideClose CombatDynamic PunchHeavy Slam,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png,Normal
69,Bellsprout,Grass Poison,137,139,61,50%,15%,Vine WhipAcid,WrapSludge BombPower WhipFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png,Normal
70,Weepinbell,Grass Poison,163,172,92,25%,7%,AcidBullet Seed,Seed BombSludge BombPower WhipFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png,Normal
71,Victreebel,Grass Poison,190,207,135,12.5%,5%,Razor LeafAcid,Sludge BombSolar BeamLeaf BladeAcid SprayLeaf TornadoFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png,Normal
72,Tentacool,Water Poison,120,97,149,50%,15%,Poison StingBubble,WrapBubble BeamWater Pulse,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png,Normal
73,Tentacruel,Water Poison,190,166,209,20%,7%,Poison JabAcid,BlizzardSludge WaveHydro PumpAcid Spray,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png,Normal
74,Geodude,Rock Ground,120,132,132,50%,10%,TackleRock Throw,DigRock TombRock Slide,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png,Normal
74,Geodude Alolan Geodude,Rock Electric,120,132,132,50%,10%,Rock ThrowVolt Switch,Rock TombRock SlideThunderbolt,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png,Alola
75,Graveler,Rock Ground,146,164,164,25%,7%,Rock ThrowMud-Slap,DigStone EdgeRock Blast,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png,Normal
75,Graveler Alolan Graveler,Rock Electric,146,164,164,25%,7%,Rock ThrowVolt Switch,Stone EdgeThunderboltRock Blast,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png,Alola
76,Golem,Rock Ground,190,211,198,12.5%,5%,Rock ThrowMud-Slap,EarthquakeStone EdgeAncient PowerRock Blast,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png,Normal
76,Golem Alolan Golem,Rock Electric,190,211,198,12.5%,5%,Rock ThrowVolt Switch,Stone EdgeWild ChargeRock Blast,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png,Alola
77,Ponyta,Fire ,137,170,127,40%,10%,EmberTackle,Flame WheelFlame ChargeStomp,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png,Normal
78,Rapidash,Fire ,163,207,162,15%,6%,Low KickFire Spin,Heat WaveDrill RunFire Blast,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png,Normal
79,Slowpoke,Water Psychic,207,109,98,50%,10%,Water GunConfusion,PsyshockWater PulsePsychic,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png,Normal
80,Slowbro,Water Psychic,216,177,180,20%,6%,Water GunConfusion,Ice BeamWater PulsePsychic,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png,Normal
81,Magnemite,Electric Steel,93,165,121,50%,10%,Thunder ShockSpark,DischargeMagnet BombThunderboltFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png,Normal
82,Magneton,Electric Steel,137,223,169,20%,6%,Thunder ShockSparkCharge Beam,DischargeFlash CannonMagnet BombZap CannonFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png,Normal
83,Farfetch'd,Normal Flying,141,124,115,30%,9%,Fury CutterAir Slash,Aerial AceLeaf BladeAir Cutter,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png,Normal
84,Doduo,Normal Flying,111,158,83,50%,10%,PeckQuick Attack,Drill PeckAerial AceBrave Bird,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png,Normal
85,Dodrio,Normal Flying,155,218,140,20%,6%,Feint AttackSteel Wing,Drill PeckAerial AceBrave Bird,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png,Normal
86,Seel,Water ,163,85,121,50%,9%,LickIce Shard,Aqua TailIcy WindAurora Beam,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png,Normal
87,Dewgong,Water Ice,207,139,177,20%,6%,Frost BreathIron Tail,BlizzardWater PulseAurora Beam,https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png,Normal
88,Grimer,Poison ,190,135,90,50%,10%,Poison JabMud-Slap,SludgeSludge BombMud BombFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/grimer.png,Normal
88,Grimer Alolan Grimer,Poison Dark,190,135,90,50%,10%,BitePoison Jab,Sludge BombGunk ShotCrunch,https://img.pokemondb.net/sprites/sword-shield/icon/grimer-alolan.png,Alola
89,Muk,Poison ,233,190,172,20%,6%,Poison JabInfestation,Dark PulseThunder PunchSludge WaveGunk ShotAcid SprayFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/muk.png,Normal
89,Muk Alolan Muk,Poison Dark,233,190,172,20%,6%,BitePoison JabSnarl,Dark PulseSludge WaveGunk ShotAcid Spray,https://img.pokemondb.net/sprites/sword-shield/icon/muk-alolan.png,Alola
90,Shellder,Water ,102,116,134,50%,10%,Ice ShardTackle,Bubble BeamWater PulseIcy Wind,https://img.pokemondb.net/sprites/sword-shield/icon/shellder.png,Normal
91,Cloyster,Water Ice,137,186,256,20%,6%,Ice ShardFrost Breath,Hydro PumpIcy WindAurora BeamAvalanche,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png,Normal
92,Gastly,Ghost Poison,102,186,67,40%,10%,LickAstonish,Dark PulseSludge BombNight Shade,https://img.pokemondb.net/sprites/sword-shield/icon/gastly.png,Normal
93,Haunter,Ghost Poison,128,223,107,20%,7%,Shadow ClawAstonish,Dark PulseShadow PunchShadow BallSludge Bomb,https://img.pokemondb.net/sprites/sword-shield/icon/haunter.png,Normal
94,Gengar,Ghost Poison,155,261,149,10%,5%,Sucker PunchShadow ClawHex,Shadow BallSludge BombFocus Blast,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png,Normal
95,Onix,Rock Ground,111,85,232,20%,9%,TackleRock Throw,Stone EdgeSand TombHeavy Slam,https://img.pokemondb.net/sprites/sword-shield/icon/onix.png,Normal
96,Drowzee,Psychic ,155,89,136,50%,10%,PoundConfusion,PsybeamPsyshockPsychicFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/drowzee.png,Normal
97,Hypno,Psychic ,198,144,193,20%,6%,Zen HeadbuttConfusion,Ice PunchShadow BallThunder PunchPsychicFire PunchFocus BlastFuture SightFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/hypno.png,Normal
98,Krabby,Water ,102,181,124,50%,15%,Mud ShotBubble,Vise GripBubble BeamWater Pulse,https://img.pokemondb.net/sprites/sword-shield/icon/krabby.png,Normal
99,Kingler,Water ,146,240,181,20%,7%,Metal ClawBubble,Vise GripX-ScissorWater PulseCrabhammer,https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png,Normal
100,Voltorb,Electric ,120,109,111,50%,10%,SparkTackle,DischargeThunderboltGyro Ball,https://img.pokemondb.net/sprites/sword-shield/icon/voltorb.png,Normal
101,Electrode,Electric ,155,173,173,20%,6%,SparkVolt Switch,Hyper BeamDischargeThunderboltFoul Play,https://img.pokemondb.net/sprites/sword-shield/icon/electrode.png,Normal
102,Exeggcute,Grass Psychic,155,107,125,50%,10%,ConfusionBullet Seed,Seed BombAncient PowerPsychic,https://img.pokemondb.net/sprites/sword-shield/icon/exeggcute.png,Normal
103,Exeggutor,Grass Psychic,216,233,149,20%,6%,ConfusionBullet SeedExtrasensory,Seed BombPsychicSolar Beam,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor.png,Normal
103,Exeggutor Alolan Exeggutor,Grass Dragon,216,230,153,20%,6%,Dragon TailBullet Seed,Seed BombDragon PulseSolar Beam,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor-alolan.png,Alola
104,Cubone,Ground ,137,90,144,40%,10%,Mud-SlapRock Smash,DigBone ClubBulldozeFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/cubone.png,Normal
105,Marowak,Ground ,155,144,186,15%,6%,Mud-SlapRock Smash,DigEarthquakeBone ClubFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/marowak.png,Normal
105,Marowak Alolan Marowak,Fire Ghost,155,144,186,15%,6%,Rock SmashHexFire Spin,Flame WheelShadow BallBone ClubFire Blast,https://img.pokemondb.net/sprites/sword-shield/icon/marowak-alolan.png,Alola
106,Hitmonlee,Fighting ,137,224,181,20%,9%,Low KickRock Smash,Stone EdgeLow SweepClose CombatFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/hitmonlee.png,Normal
107,Hitmonchan,Fighting ,137,193,197,20%,9%,Bullet PunchCounter,Ice PunchThunder PunchFire PunchClose CombatPower-Up PunchFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/hitmonchan.png,Normal
108,Lickitung,Normal ,207,108,137,20%,9%,LickZen Headbutt,Hyper BeamPower WhipStompBody Slam (legacy),https://img.pokemondb.net/sprites/sword-shield/icon/lickitung.png,Normal
109,Koffing,Poison ,120,119,141,50%,10%,TackleInfestation,Dark PulseSludgeSludge Bomb,https://img.pokemondb.net/sprites/sword-shield/icon/koffing.png,Normal
110,Weezing,Poison ,163,174,197,20%,6%,TackleInfestation,Dark PulseShadow BallThunderboltSludge Bomb,https://img.pokemondb.net/sprites/sword-shield/icon/weezing.png,Normal
110,Weezing Galarian Weezing,Poison Fairy,163,174,197,20%,6%,Tackle,Hyper BeamSludgePlay RoughOverheat,https://img.pokemondb.net/sprites/sword-shield/icon/weezing-galarian.png,Galarian
111,Rhyhorn,Ground Rock,190,140,127,50%,10%,Mud-SlapRock Smash,BulldozeHorn AttackStomp,https://img.pokemondb.net/sprites/sword-shield/icon/rhyhorn.png,Normal
112,Rhydon,Ground Rock,233,222,171,5%,6%,Mud-SlapRock Smash,EarthquakeStone EdgeSurf,https://img.pokemondb.net/sprites/sword-shield/icon/rhydon.png,Normal
113,Chansey,Normal ,487,60,128,20%,9%,PoundZen Headbutt,Hyper BeamDazzling GleamPsychic,https://img.pokemondb.net/sprites/sword-shield/icon/chansey.png,Normal
114,Tangela,Grass ,163,183,169,40%,9%,Vine WhipInfestation,Sludge BombSolar BeamGrass Knot,https://img.pokemondb.net/sprites/sword-shield/icon/tangela.png,Normal
115,Kangaskhan,Normal ,233,181,165,20%,9%,Low KickMud-Slap,EarthquakeOutrageCrunchPower-Up Punch,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan.png,Normal
116,Horsea,Water ,102,129,103,50%,10%,Water GunBubble,Flash CannonBubble BeamDragon Pulse,https://img.pokemondb.net/sprites/sword-shield/icon/horsea.png,Normal
117,Seadra,Water ,146,187,156,20%,6%,Dragon BreathWater Gun,Dragon PulseHydro PumpAurora Beam,https://img.pokemondb.net/sprites/sword-shield/icon/seadra.png,Normal
118,Goldeen,Water ,128,123,110,50%,15%,PeckMud Shot,Aqua TailWater PulseHorn Attack,https://img.pokemondb.net/sprites/sword-shield/icon/goldeen.png,Normal
119,Seaking,Water ,190,175,147,20%,7%,PeckWaterfall,MegahornIce BeamWater Pulse,https://img.pokemondb.net/sprites/sword-shield/icon/seaking.png,Normal
120,Staryu,Water ,102,137,112,50%,15%,TackleWater Gun,Bubble BeamPower GemSwift,https://img.pokemondb.net/sprites/sword-shield/icon/staryu.png,Normal
