date,rating,title,pros,cons,advice,reviewer,url
2021-01-12,4,Good place to work in,"Many good engineers, PMs and managers with great initiatives","Engineering seniorship is lacking experience in mitigating migrations, focusing on important parts, make companywide decisions – most of the teams live in silos not trying to care about what others are doing",Decide on who deserves what based on your true understanding of who contributes to what.,Front End Developer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW40550175.htm
2021-01-01,4,Best service,"Best company with good Services .
Good Employment and staff.","I want daily Payment work in this company 
I will do my best work and submit it on time.","Keep doing:D 
Nice Employment and great work.",Data Entry,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW39984318.htm
2020-12-22,5,"Great culture, high impact and accountability","- Great humans and professionals
- Learning opportunity
- Responsibility
- Flexibility
- Flat organization and bottom-up approach","- High competition in the industry
- Not a secure environment (many changes)",None,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW39728827.htm
2020-12-20,5,-,Great place to work. They care a lot for their people,I am new and haven't seen negative things yet,None,Data Analyst,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW39646691.htm
2020-12-16,5,Excellent place to work!,"Flexible schedules, excellent benefits, excellent work-life balance and friendly co-workers.",We share why someone is fired or let go. No need to tell someone's personal business. Just say that the person is no longer with the company.,None other than the con mentioned.,Customer Support,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW39531727.htm
2020-12-11,2,Pointless company,The salary is high. As they are scared of people leaving you have a lot of negotiation power.,"The product stop making sense long time ago, the founders are out and all the people who made the product great left. Only those who cannot find a better job stay",Try to onboard someone who knows how to innovate again.,Software Engineer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW39377019.htm
2020-11-16,5,"Great perks, culture","Typeform really takes care of its people. When the pandemic hit, we all got a €1000 stimulus to create a home office. Lunch is included (€9 a day) through Cobee. If you're a designer you get a 4K screen and so on. The relocation package is generous and the move was simple and straightforward.

The culture is friendly, welcoming, and working in the design team feels like a dream come true. You can expect your career as a product designer to develop in a natural way (thanks to the director of design).","-The tech debt is wide and deep; the backend is unruly but we are constantly expected to build features using it and hit OKRs. There are talks about speedups and code health but they live and die along the lines of ""how is this connected to growth directly?"" and ""can you do it in a sprint or two?""
-You'll get a ""laptop"" to work on. Make sure you negotiate for a 16"" macbook Pro as part of your offer; otherwise they'll give you an entry level 13"" pro you'll be stuck with. Upgrading equipment is shady, and some folks in IT support expect bribes in order to help you out. Bribes include these company coins (internal bonus points you can give others).
-some teams don't have PMs so they have to figure things out as they go. But this is improving with new hires!",What would happen if we... built nothing? How long until it hurt the bottom line?  If the line will be ok for a while... how do we set our code up for future success?,Product Designer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW38384952.htm
2020-11-05,5,Good company,a good brand with very useful software,"With the recent changes, requires a lot of foundational structuring for scalability as the company grows",None,Anonymous,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW38051463.htm
2020-11-02,4,All Around Company,"Great benefits package; Flexible schedule; Awesome additional perks (e.g. Gym reimbursements, additional perks like learning budget, and thoughtful gifts)",Limited US Remote growth opportunities; Could be more transparent about salaries; Timezone challenges.,Very limited for remote employees,Technical Customer Support Advocate,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW37902697.htm
2020-10-23,5,Great place to work,"Good compensation
Good enviroment
Very good perks (lunch, gym, unlimited holidays)",Needs to mature their data oriented culture,None,Data Scientist,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW37528015.htm
2020-10-21,2,Not the best,"Good salary, Good benefits, Nice office","No input in anything, poor management",None,Front End Engineer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW37429677.htm
2020-10-21,4,Great environment where you can have impact,"You have the opportunity to work with a lot of very talented, kind and humble people. The company has huge growth potential and customers love the product. Good salaries and perks. Curious to see what will happen in the next years!",Typeform is growing super fast and that comes with some challenges. There is more work that needs to be done in terms of diversity and inclusion and there is a need to improve in terms of offering clear career paths (training).,More diversity needed in LT,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW37422606.htm
2020-10-08,4,A company with a lot of potential,Work on a product and company that is well respected in the industry and has huge growth potential. Salary and perks are definitely above average (at least in Spain).,"We are in that awkward puberty phase of startup growth. Lots of changes are happening, so things seem chaotic and take a lot of time. They are necessary changes though, and I think they will contribute to the long term success of Typeform.",None,Product Manager,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW36886287.htm
2020-10-03,4,good,very good work environment with seniors,extended hours sometimes only in weekends,None,Business Analyst,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW36673780.htm
2020-07-23,4,Human,A great work environment in sunny Barcelona.,Young company constantly changing challenges.,None,Facilities Manager,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW34389284.htm
2020-06-19,4,Great perks and atmosphere,A growing company with an amazing culture and perks. You can grow and learn and have all the support you need to do so.,Sometimes there is a lack of structure and power imbalances.,None,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW33790785.htm
2020-05-25,5,Good job thank you for,If you do hard work earn money,I will earn more money,None,Teacher,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW33344045.htm
2020-05-21,5,"Nice company, great software.",Customers love Typeform. Most people who work here are really smart and passionate about building cool software.,Time zones can make it hard to collaborate sometimes.,"Continue focusing on product, solving for the customer.",Partnerships,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW33294333.htm
2020-05-20,3,It used to be great but still good!,"Great product, fun environment, great minds, stable, one of the best paying companies in Barcelona, amazing office, flex (-ish) hours, and very nice people where you could make international friends for life.",New management changed the whole culture. People used to trust the management before that. A bit of sneaky attitude. More politics than ever before. More than half of the company left or was fired. Career/development path was promised for long time without delivering.,Look in the mirror.,Engineer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW33281137.htm
2020-05-18,5,Company with values,"I started working at Typeform just few months ago and I can tell already it’s the best company I’ve worked for. Since day 1 (or even before day 1) I felt welcomed and taken care of, it’s not one of these old companies with non-existing onboarding process where you have to find all the information about the structure, your role and the company yourself. The person in charge of onboarding along with the whole HR team and home team (yes, they have dedicated team to make the company feel like home!) are one of the warmest people I ever met. They really make a difference and value amazing company values. My jar dropped many times these first days (the attitude, the sense of being united and welcome, such support, beautiful office, free lunches). And it didn’t disappoint me later on. My team is a very supportive and experienced group of people and I can learn and have an impact here. Now, despite these uncertain times Typeform is thriving. After all, we’re a tool to remote communication. And one of the best. And looks like working remotely is also handled very well and I am very happy about it. So proud to be here!",There's a lot of things to do so it's not company for just sitting for 8 hours.,Keep doing what you're doing and value your people :),Software Developer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW33229118.htm
2020-02-11,4,Good perks. Good environment. Nice people.,Flexible hours. Unlimited holidays. Growth possibilities.,FGC. Lots of learnings along the way.,Company culture is a must. Keep it in mind for hiring (specially on leadership levels),Design Manager,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW31805765.htm
2019-12-23,5,Great people making awesome products,"When you have really great people working together towards the same goals, all the outcome will definitely be outstanding and delightful for their consumers. This is how I can define Typeform. A company made of great people (not only because they're good professionals, but they're great from their heart too). 

Despite all the changes in the company culture in the last few years, everyone there is working hard towards a common goal and making sure that anyone in the company feels they exist and are valuable pieces of the business.

Things I can definitely highlight:

- An excellent infrastructure (in a sunny corner of the World!)
- Friendly people and outstanding professionals
- Great culture and atmosphere
- Awesome perks (including a budget for self-improvement &amp; learning)
- A generous offer and relocation budget

My sincere gratitude for all the opportunities.

A special THANK YOU to all the people I did interact with. To name a few:

- Alex C.
- Gorgious D.
- Albert A.
- Pau M.
- Cinta C.
- Patricia B.","No companies are made only from good moments and I am sure Typeform is not an exception on that matters. Not everyone has the same understanding of the same things.

However, I truly believe that if you're bound to something in common and working hard toward the same goal as everyone else in the company, every single bad moment or situation will be easily overcome in the best way possible.

So, no cons. ;)","Keep the good work up! Make sure to keep working hard to make Typeform a better company to work for, with all the processes well defined but, at the same time, please do not lose the sense of humanity you all have right now. ;)",Senior Team Lead,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW30995184.htm
2019-12-03,1,Fake It until you make it,"- It was a great company with opportunities to grow for individuals
- perks","- culture of fair
- people dismissing for openly asking questions
- no way for issues escalation
- yes-man appreciation
- no transparency in processes","I would rise a few questions to think about
- do you really believe that aggressive and offensive answers to negative reviews on glassdoor are the right way to work with the negative feedback from ex-colleagues?  

- Is it an idea from ""culture expert"" to create fake reviews to fix the culture or one of the company's best practices nowadays.",Software Engineer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW30690430.htm
2019-11-26,5,"Stable growth, awesome new colleagues and culture","- the company is growing and meeting its goals
- new team members bring a lot of experience
- great culture of 'being a little more human' both in the product (focus on customers' needs), and in the way we work (goals are challenging but realistic, there is space for focused work, but also to unwind at the barception, people are very nice to each other)
- flexibility around working from home
- the product is beautiful and keeps getting better
- the data infrastructure is good","- not much really, some people are leaving, but at the moment I think it's a natural fluctuation
- needs faster product iteration and tool adoption to stay ahead of the competition","- regularly explain to all teams how they contribute to the north star metric and set their OKRs accordingly; if the focus is on execution, each team should ideally push one crystal clear metric at a time 
- introduce a regular anonymous opinion survey to see if there are specific areas of concern or teams that are unhappy
- invest resources into building an employer brand (tech blog, design blog, meetups, sponsoring) and praise individual contributions",None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW30590795.htm
2019-11-22,4,Working at Typeform is embarking on an incredible journey!,"Working at Typeform has been the best decision of my life and I'm grateful for working here. There been highs and lows and that's what makes it an enriching experience! For the pros:

- The product &amp; brand is known all over the world and used by a wide range of users (from SMBs to Fortune500) and from all industries: retail, banking, tech, governmental org, non-profits... Ask around you and it's likely that someone who knows a bit about surveys has heard about Typeform. 
- From a customer-facing perspective, it's an amazing opportunity to 1. practises your language skills (for example: I interact with customers in English, Spanish and French on a daily basis!) 2. learn from a lot of various use cases &amp; industry-specific challenges and truly allows to put on a 'consultant' hat to best advise customers). 
- The product is adding more new features and is making good progresses towards being the gold standard in surveys, quizzes and forms. As an example, in 2019, the market leader (for form builders) revamped their product to add the 1 question at a time interface, straight-up copying Typeform's initial idea. If that's not market recognition, I don't know what that is.  
- The user base &amp; customer base has been growing at a steady pace over the past years and the company metrics are in the green (MRR/ARR, churn rate, product adoption, etc.)
- The leadership team is made of experts from the local tech scene as well as experienced professionals from Silicon Valley, thus making for a good mix of various experiences. 
- The company has offices in Barcelona and San Francisco where it benefits from the local ecosystem in terms of strategic partnerships with other top-notch SaaS platforms (Slack, Google, Hubspot...). 
- There are huge opportunities to test and learn in the customer success team; new ways to execute on 1 to 1 or 1 to many strategies, high-touch, low-touch, tech-touch, you name it. 
- I have worked for a bunch of companies and the level of trust and autonomy given to Typeform employees is by far the highest. 
Think: flexible hours, unlimited holidays, remote work up to 3weeks/months from wherever you want (I've taken calls from crowded café in Paris, empty dinners in Oakland, California or from the dining room of my parent's house).  I worked for companies where leaving at 5pm is seen as taking your afternoon off... I sometimes get approached by tech companies who still have outdated management practises (9 to 6) and where remote working is nowhere near being a reality - unless your definition of remote work is being allowed to work from home on Wednesdays afternoon to wait for your Ikea delivery.  As far as I know, Typeform is the only company in Barcelona to offer this. 

Bonus: the amount of free stuff you get at Typeform is ridiculous. For starters: free lunches everyday (local, fresh, organic food) with menus for all diets (veggie, vegan, omni)! Typeform has its own bar &amp; café. Our baristas serve amazing coffees or cocktails for special occasions. Beautifully decorated offices that makes it enjoyable to work here. Free gym membership with access to 500+ gyms all across Spain. Sunny terrasse in Poblenou with bbq &amp; beers &amp; 10min away from the beach. The list goes on and I'm sure I forgot some things.","Of course, there are cons and I strongly recommend anybody reading Glassdoor reviews to be skeptical about 100% positive (or 100% negative reviews). From reading some of the reviews below, I can assure you that they all misrepresent and caricature what's actually going on behind the scene. 

- It's sometimes difficult to make sense of all the information that is shared with the employees and keep track of objectives &amp; focus areas. The company recently decided to put screens around the offices with the recap of the company's results, our objectives &amp; updates to make sure everybody is aware of them. Let's see if it works.
- There are organisational frameworks that have been deployed at scale within the org with out taking into account their actual relevance for some teams. This should be reviewed imo.  
- Past 200 employees it's difficult to keep track of who's who and we could benefit from having a 'buddy program' to get to know newcomers and help them get familiar with Typeform. 
- The career path took longer than expected to be fully operational but it's finally here and I'm confident it will help people grow in their role moving forward. 
- There have been some growing pains &amp; cultural changes in the recent months that have affected the overall morale of the company and so it's not always been funny around here. But this is a common issue for hyper-growth startups and so not specific to Typeform.","- Revisit the OKR process
- Make the buddy program great again :)))",Customer Success Manager,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW30519250.htm
2019-11-07,5,Excellent team with an incredibly versatile product,"- Excellent growth
- Great work environment
- Good opportunity to drive initiatives
- Great perks","Timezone difference can be challenging, but any tech company will experience this.",Keep hiring great people to drive the change needed to achieve the set goals.,Head of Product Marketing,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW30255279.htm
2019-11-06,1,No longer a top start-up. Deified mediocre bottom tier leadership.,"- L&amp;D budget.
- Unlimited holidays (this is just a bait, if you do what you are really supposed to do there's no time for longer holidays than the standard amount).
- Free lunch, fruits and excellent coffee. Nice offices although wrong neighborhood.
- Health insurance with Cigna which is a really good one.
- Slippers.
As you can see these pros are just social benefits. There were not any pros related to the role I was developing. Basically I lost 2 years of my life. The company pretends to be a top-notch tech company but they are completely lost.

Salary is not bad. In the past it was above industry benchmark, currently average or below industry.","To sum up, back in the past, the leadership team was not the best in the world, however they had an idea and they worked wholeheartedly towards it.

Then, Joaquim Lecha was appointed as an advisor for the board of directors, suddenly some months later he was appointed COO and then CEO. This was Typeform's death sentence. Joaquim Lecha doesn't have charisma to be a CEO. He doesn't have any clarity and he is extremely boring, nobody is engaged after hearing his discourse.

After this, his friends, a new CFO and a new CPO joined typeform. And then the pattern was repeated with other positions.

Do you have great ideas that will eclipse the C-level team? Save them and use them in another company. Current C-level team will always believe that are better than you...","Be honest, say that you are not prepared for this.
David &amp; Robert, find a new leadership team, convince the investors to replace the current team and start from scratch as if you were back in 2012.",None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW30245645.htm
2019-11-05,5,Exciting company with a great product,The team at Typeform is really solid and the product is loved by our customers.  The company has a really exciting growth plan and product roadmap for the next 2 years. The offices are located in Barcelona and San Francisco so you have a chance to travel to two great cities for work,"Working with teams located in other timezones can be challenging, but this challenge isn't unique to Typeform",Continue to be aggressive in hiring sharp people that can help the company achieve its growth goals over the next 2 years.,Anonymous Employee,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW30210276.htm
2019-11-05,4,Great place to work,"-Atmosphere 
-Career growth 
-Benefits are ok. 
-Company potential","-Salary could be better or have bonus plan incentive. 
-Flexibility and work life balance doesnt seem to be a priority anymore","The easy thing is to follow what more established corporations do and implement the same restrictive measures they have. The core of this company should be to innovate even I'm the way we work and ensure that everyone is productive and aligned while maintaining a good culture and work life balance. Easier said than done, true. But that's why C levels get paid high salaries: to innovate and think outside the box and bring success to business.",Technical Support,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW30198308.htm
2019-10-31,5,"nice history, awesome product, great momentum","Fantastic product, that our customers love. I'm lucky enough to be on a role where I hear a lot of praises from partners and customers about the value Typeform brings to their workflows.
Great people, solid culture","Yes the culture is changing a bit as the company is growing, and that road can be bumpy sometimes, but people's hearts are in the right place and we can feel a nice momentum","A ship with so many new faces can be hard to steer, but you know that. Keep people's happiness in mind and we'll get there together!",Partnerships,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW30123595.htm
2019-10-26,5,Rapid Growth and Culture Change,"- The company is growing very rapidly breaking growth records in new users and revenue and has reached profitability.
- Plenty of growth opportunities for people who look to learn new skills and advance their careers.
- Amazing offices and you get to work from Barcelona!
- Very innovative with new products such as VideoAsk and Conversational Interface.","- A few ""old-timers"" actively or passively opposing the changes.",- Move from the detractors. It's clear there are a few people who don't care about the company's success and their negativity can affect others.,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW30029241.htm
2019-10-22,1,Great if you enjoy following amateur and biased leadership and,"When I joined the ambience was so positive, you could find like-minded people easily and almost everyone were very spontaneous sharing and collaborating (exception the couple chaps favorite to the founders, who were impossible to work with). The energy was amazing and we had opportunities to try ideas. Unfortunately that was blinding because they told some of the 20-somethings they were hiring from all around the world that ""you are so amazing just keep being amazing and have lots of fun"", and some teams had zero accountability while others struggled under pressure. You need to have a childish and very emotional side to be comfortable, and make sure that you are friends with the right people to get a good payslip, opportunities, and promotions. Then everything should go well for you. Also goes well if you are taking care of something vital but not fancy that requires hard work, but keep in mind that it doesn't guarantee acknowledgement of your value. It also helps if you like booze, perks and parties. People supported each other a lot, but there was also a lot of drama because personal and professional stuff were always mixing. We spend much time out of office together (expats have nobody else in the city). All the positives there have a dark side.","I'm not sure when it all started going downhill, but there was a moment it was obvious: once the previous leadership team stabilized things a bit, the new CEO, the founders, and the investors started sacking everyone in C-level and replacing them with a bunch of yes people scratched from the bottom of the barrel. It doesn't matter what you've achieved, if you were promoted by the old team you are as good as dead. Worst part is that the new C-levels have barely any relevant experience to play the part beyond ""whatever the CEO and the founders please"". Some C levels were sacked very fast because they were strong voices while others played along with the CEO and prepared their exit leaving with full pockets and handing over their teams to those who will do the sacking (or encouraging people to leave).

If you think all this is high-level and irrelevant to you as a modest member of a team, wait until all that rains down rewarding the nodders and penalizing everyone else, lack of professionalism when making decisions, personal stories mixed with work, and thought censorship. There was a period of time that women dating managers got promotions. It even got to the point that two women were married to managers and promptly promoted way high in the company at the exact same time. Also don't dare to talk about unions, family needs, or issues with predatory co-workers who seem incapable of keeping it in their pants at work. Some employees are being put under ""performance review"" for asking the wrong questions, complaining about those topics or supporting those who speak up. Also happens to those disagreeing on something that they know more than the manager about. Literally, if you thumbsup the wrong comment on Slack then People Experience team will keep it on their list of reasons to fire you and they will tell everyone that you are toxic. With all this lots of great people with real knowledge left so definitely not a great place to work or grow professionally anymore. Never again a fancy startup if I can avoid it.","CEO: Your MBA and a month at Stanford don't mean you are the smartest in the room. I know that this will come as a shock to you but if you lie to people they end up noticing. Stop talking like a New Age book about enlightenment.
Founders: Go back to primary school. Learn the meaning of accountability. Also, learn some maths. You have a dangerous aversion to numbers. 
Leadership: Your shares worth nothing. The company will be sold for parts or given away to next round of investors as a bargain. Only investors, founders and CEO will see some cash out of this. They are going to do to you exactly what you are doing to everyone else.",Project Manager,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW29957461.htm
2019-10-17,1,One of the worst experiences,They used to have a different product.,They think they are much cooler than they actually are. The product has zero evolution and competitors have managed to close any gaps. Now they are trying with other ideas desperately looking for something that would save the business. Check out on crunchbase their funding rounds and you will realize that it's been a while that nobody believes on their product.,Don't fool people. So many new hires join because you oversell expectations while the reality is very different. Maybe closing the company would be a wise choice.,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW29860127.htm
2019-10-16,1,Fake it til you make it,Very talented and lovely people to work with. Nice perks.,"Advice to job seekers: 

-First, look at the negative review trends, the different writing style, English natives and non-natives expressing their opinions, how everything looks pretty much consistent, even though they're ""hidden"".

Second, check the most recent positive reviews and check the consistency in the writing style. Looks like they're written by the same person, right? That same person that has one hour scheduled each week in their own calendar for ""Glassdoor reviews""... Actively replying to negative reviews or busy creating fake accounts to write more positive ones?",Hate to say I told you so.,Senior Ninja,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW29849419.htm
2019-10-12,2,Once upon a time… there was a company where employees where happy to work for,"The cafeteria is the best thing they have.
Some supportive and smart engineers.
Flexible working time.","They have fired competent and friendly managers and replaced them with obscure ones, without transparency and in some cases without even performing a technical interview. And this has been done to take the company to the next level... well they are drastically failing. 

Firing became a normal practice and so others are leaving... so who stays exactly? Think about it! I will keep this one for me.

They seems to ignore the risk to stay with few and weak developers in a couple of months, without being capable to run the business. This is the most scaring thing.

The product is nice but not great, unfortunately it's broken at its bases which makes it not attractive/usable by big customers. 

Engineering: average/weak with resistance to changes, lack of vision and no common architectural patterns, where each team, sometimes formed by 2 persons due to the leavers, are responsible for the architecture too. If you like mutability, null references and broken encapsulation that's the place for you. Or if you like to listen ""we need to break the pattern because...."".  Code review is almost absent. Comments are constantly ignored for the sake of let's delivery and probably not even read. That brought me to stop doing it. A waste of time.

Leadership team: As a Colombian would say... ay no, qué horror. They don't even know how to organize an induction program (they didn't even know which team I was going to join and I was left by myself, inventing things to do). They are creating a toxic environment where people just want to leave and new joiners don't know what to do and are left with themselves, without a guidance.","Take your conclusion reading the cons of all reviews. If there are common patterns, something is wrong.",Senior Software Engineer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW29767019.htm
2019-10-10,4,"The current 2,9 rating does not match with reality  ' IS A GREAT PLACE TO WORK ´","I think that when a start-up needs to start scaling-up, cultural changes are always hard for the employees who have been there since the very beginning. 

If you are the kind of person goal-oriented, who wants to learn and make an impact, the ´new Typeform culture´ can provide you with this opportunity...

However, if you prefer early-stage companies, this will not be your place.","Startup usual problems, thats all",None,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW29730878.htm
2019-10-08,1,A company that has lost its human touch,"- Very competent and smart colleagues
- Good perks for Barcelona
- A good addition to your CV","When the new CEO started and replaced the whole C-Level (in some cases, in a very opaque way), it was the beginning of the end of the human side of Typeform.

After a series of catastrophic public meetings and firings of perfectly capable and liked professionals that voiced their criticism, management hired an external consultant and overhauled the values, only for HR to use new values against even more perfectly capable professionals and crush any criticism. Effectively, management is creating a toxic environment where any valid criticism will be silenced, and real issues (middle managers, directors or even C-levels with massive egos) are being swept under the rug, to hide the utter incompetence of an HR team that seems to answer more to the company shareholders than to the employees they allegedly represent.

It’s a real pity, as it’s a company that in the past could proudly say they cared about their employees, but politicking, bad decisions, and management going out of their ways to defend their bad decisions are seriously threatening the future of the company.

I know that my experience might have been different from other people’s, but that doesn’t invalidate it, as some other reviews seem to suggest.","Listen to your employees. The C-level, directors and managers have created an echo chamber where all top-down decisions sound like the best decision ever, but you are getting rid of the people who truly make Typeform (either because you fire them or because they seek a better work environment). They are the ones that make, promote and support a product that the tech world loves, and if they leave, you won’t be able to find people that know and love the product enough to make, promote and support it the way it deserves.",None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW29687351.htm
2019-10-03,5,Same amazing company it always was,Transparency. Hard work. Fun. Outstanding colleagues. Learning.,"We are going through a bit of refoundational phase in some aspects. There is room for improvement in processes, understanding how to do things better and more efficient. 

Management are making an effort to hear people out. Yet it is also true that decisions need to be made and not everyone will agree on everything.",Grow but keep people's idea of freedom at the forefront.,Anonymous,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW29591559.htm
2019-09-28,2,I did not enjoy my experience as much as I had hoped I would...,"Many of the regular employees still working at Typeform are amazing people. There are talented, passionate, and friendly people who are doing their best to take the company to the next level. I met many great friends working there, and many of my former colleagues could say the same.

The lunches and barception were great ways to get to know people you didn't work with on a day-to-day basis, and they were much appreciated perks.","Talented people are leaving. Quickly. The quality of new hires is decreasing, because it's hard to keep up with the volume of leavers. This is especially harmful for a software company, because product knowledge and understanding legacy code is important. This creates bus risk.

Good people were fired due to disagreements with people on the leadership team. How can you expect employees to trust the people at the top when they're firing the managers the employees trust, with no transparency? And to top it off, drastically under-qualified people have been brought on board with just as little transparency input from outsiders of the leadership team. The ""value"" these new leaders are adding is just more process, and then of course more meetings to talk about these ever-changing new processes. It's tiresome.

The perks are nice, and the pay seems to be (a little bit under, but close to) inline with what other tech companies in Barcelona pay. However, Typeform is trying to compete globally. This means competing with engineering teams across Europe, North America, etc., which pay a lot higher. To attract more top talent, you have to pay top dollar. Right now, developers can look to other companies in Europe, or even remote positions and nearly double their salaries (more in some cases).

Top-down management. Several times all teams were told to drop everything they were doing and focus on another initiative. This has created a tremendous maintenance monster that a few unlucky teams end up in charge of maintaining. Arbitrary, tight deadlines without scoping input from people who will actually be doing the work has led to some questionable quality of work and decreased morale.","Find a way to keep people from leaving. Agile teams are self-organizing. Top-down with unrealistic deadlines hurts morale and creates maintenance nightmares.

I wanted so badly to love working at this company. I've been told by many that I joined right as things started to decline. There are still great people in the company, and I don't think it's too late to turn things around, but something's got to give. Listen to the people who are leaving. Hear what they have to say, and make adjustments accordingly.",Senior Software Engineer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW29502059.htm
