,category,id,location.latitude,location.longitude,location.street.id,location.street.name,location_subtype,Force,month,outcome_status,outcome_status.category,outcome_status.date,persistent_id
18,anti-social-behaviour,71188855,53.472423,-2.241188,723450,On or near Lower Ormond Street,,GM Police,Jan,,,,d5e3ca64993098b8cba0dee62afc663cba2e16a27082c406d1a0d3a1b95d8948
19,anti-social-behaviour,71193079,53.465866,-2.260175,723231,On or near Percy Street,,GM Police,Jan,,,,368b5447909d26f0f0c86081eea6db85f78c2752852d1975ea6ba1088c4122bf
20,anti-social-behaviour,71193002,53.469079,-2.241033,723498,On or near Further/higher Educational Building,,GM Police,Jan,,,,37902dd31fd69d2e3f433b7b82856764412e1fe5f5b866df696bdfe423f9f0ca
21,anti-social-behaviour,71193168,53.469306,-2.248747,723373,On or near Hunmanby Avenue,,GM Police,Jan,,,,d82499fecb1f37d9d14373ef73eafd66bf83a4e7d35a876b28a99b58ba1f8346
22,anti-social-behaviour,71192584,53.470884,-2.259016,723305,On or near Angela Street,,GM Police,Jan,,,,375763c9ce47de880660ba34f77119cdf93be619abe5c5b7dc08b9ab38d5c8b5
23,anti-social-behaviour,71192563,53.471236,-2.258566,723298,On or near Beattock Street,,GM Police,Jan,,,,187c627f4a3e3cab9e9452777d7d1d2e7942965b2efa752f28120aee44b50a68
24,anti-social-behaviour,71192286,53.467364,-2.265562,723260,On or near Holly Bank Close,,GM Police,Jan,,,,fc0efe1a9bfdb0fd28766c50874bf5182939dea21387d1611677cf96bff4c3ec
25,anti-social-behaviour,71191237,53.479976,-2.235083,725963,On or near Hope Street,,GM Police,Jan,,,,fc6f72389f1fe1a483328c66bf6425f8605c537219fe84b0b5debc20986171ef
26,anti-social-behaviour,71191233,53.479107,-2.242853,725977,On or near Cooper Street,,GM Police,Jan,,,,70257b27c949a602f67aa7daa09e08b9adb49fc954d5686ef238e6cf4302544e
27,anti-social-behaviour,71191235,53.477477,-2.239785,725903,On or near Nightclub,,GM Police,Jan,,,,faeb3c4f1082f6b92c502c6c5dc939bc77aa6eba6ef636a400a774d67e0f6772
28,anti-social-behaviour,71191230,53.478672,-2.240093,725913,On or near Parking Area,,GM Police,Jan,,,,dcdbbbc4e6c30b1da63276e655ff0e79e2480671c2c595cebcd39fddf87f25a0
29,anti-social-behaviour,71191231,53.482671,-2.231376,725774,On or near Postal Street,,GM Police,Jan,,,,99dc2b481416b56c15e7cc59b9e06cad762c4e653ed7fac7efa1a94ec190cb5c
30,anti-social-behaviour,71191232,53.486127,-2.224553,725848,On or near Shopping Area,,GM Police,Jan,,,,61bf40036216960b89b922e434f0dde57a0eea68790230e95fc20200d25cfd5c
31,anti-social-behaviour,71191224,53.480923,-2.233777,726149,On or near Nightclub,,GM Police,Jan,,,,6f06b4b4e0e96a8687a49897649137f7f4fcdcc194e8917219e2de430bbc0236
32,anti-social-behaviour,71191225,53.484460,-2.236012,725976,On or near Copperas Street,,GM Police,Jan,,,,fd90a107e0223f7ebab9600f6b47fb32e08513e1632a2ab0d3426f7ff7065989
33,anti-social-behaviour,71191226,53.485970,-2.244836,726032,On or near Victoria Street,,GM Police,Jan,,,,c2254705ab07c6b4c5de2ab6441f5f9c1d567f94886274b1a3ae2690a440cb73
34,anti-social-behaviour,71191220,53.478672,-2.240093,725913,On or near Parking Area,,GM Police,Jan,,,,9d62e89a8961c2c0acc2bb32fd05372756ea2b1f35eb2b26ccd98c4174f2b6d3
35,anti-social-behaviour,71191222,53.476341,-2.232396,725720,On or near Back Acton Street,,GM Police,Jan,,,,d4216b5d24c5ffae732bd8055eb0a8bb5508ae2a36b4296ba02cf8346f50849a
36,anti-social-behaviour,71191223,53.480277,-2.237782,725946,On or near Parker Street,,GM Police,Jan,,,,93ddb511358a52f19397f6e4c0003b16b659b936099ca61c087ce0706b1b61b2
37,anti-social-behaviour,71191199,53.481250,-2.236341,725945,On or near Piccadilly,,GM Police,Jan,,,,8af0bf8313b9a1878e216db29c967ae4c5cd96705359810e459454728e28c778
38,anti-social-behaviour,71191177,53.485169,-2.240748,725997,On or near Nightclub,,GM Police,Jan,,,,68d1b5034c66d7e20b51140282ce1d493490507d438db42dce2e65dbffa08d59
39,anti-social-behaviour,71191178,53.482962,-2.234060,726150,On or near Further/higher Educational Building,,GM Police,Jan,,,,d62450bd2ec88c34904608f51f1cffcfefc33cb70e24640c918fbe20ce962413
40,anti-social-behaviour,71191180,53.480419,-2.242755,725983,On or near Chancery Lane,,GM Police,Jan,,,,91208af50034dd6a13191b7b5936e953e328ab7526837648603b4d6ff36b1bbe
41,anti-social-behaviour,71190427,53.481316,-2.234819,725993,On or near Back Piccadilly,,GM Police,Jan,,,,8aaafb4e993e4be41c95f0af50bd90939bb2677b1c5fd61dc5b813eb79773bec
42,anti-social-behaviour,71189711,53.482064,-2.234040,726145,On or near Bunsen Street,,GM Police,Jan,,,,a5a7c42ee398936763b9597e1206d74eac195da2c95a6ec7050ea9c5e8d29394
43,anti-social-behaviour,71189691,53.485418,-2.237554,725935,On or near Shudehill,,GM Police,Jan,,,,cb84b4b19fb27e780008544b7db61aac7f4a16c38036620ae67cd37cb3763d82
44,anti-social-behaviour,71189693,53.481250,-2.236341,725945,On or near Piccadilly,,GM Police,Jan,,,,dd378dd64c1c4230a6af2b145b717f54fad5e54fbb979f724288b2133a403ca8
45,anti-social-behaviour,71189631,53.484453,-2.234987,725948,On or near Oak Street,,GM Police,Jan,,,,1d149d70a74393494133c3c68481aa77fed0d8464941c23ebfa41da2af87fb02
46,anti-social-behaviour,71189868,53.479107,-2.242853,725977,On or near Cooper Street,,GM Police,Jan,,,,0c1f9ecce0cca1ac68c16132deb930eb1feb44ab89a6e559cba4dfa8d89f4a62
47,anti-social-behaviour,71189670,53.479880,-2.242812,725990,On or near Booth Street,,GM Police,Jan,,,,dbb9a3a0e65b960bf4b106e1e225eaef06785cc9b2aa2a5edacf9c07578356ea
48,anti-social-behaviour,71189117,53.481868,-2.254924,726048,On or near Ralli Courts,,GM Police,Jan,,,,d6e626346e7557d4d9ed81df750fd91bbe03eeb13d79b933b4c003b8549adc12
49,anti-social-behaviour,71193345,53.468291,-2.248757,723356,On or near Reilly Street,,GM Police,Jan,,,,594b80c723703f76d07c46641efcd0f8e17fe2a39578a34e59da6b02e1acc30a
50,anti-social-behaviour,71193336,53.469841,-2.259175,723257,On or near Langholme Close,,GM Police,Jan,,,,d741cd748aec0e8276b3681d6f8ed49f1eef998f3e5e9b8748e5f33685e46e82
51,anti-social-behaviour,71193312,53.467841,-2.248874,723363,On or near New Welcome Street,,GM Police,Jan,,,,d06a48587ee1127ac08a191357b62e173cae0d7af44f6d058bec7d20aff74dbe
52,anti-social-behaviour,71193289,53.468410,-2.247432,723370,On or near Leaf Street,,GM Police,Jan,,,,a5fea5b269868350ba03b4566080821dbfdcedda17ae33ea2328d741b6407d57
53,anti-social-behaviour,71193101,53.469676,-2.264899,723251,On or near Malt Street,,GM Police,Jan,,,,601ced241525df24222cee5b67829d592c0ae931cfdc259de70afffb844ed0b3
54,anti-social-behaviour,71193086,53.469841,-2.259175,723257,On or near Langholme Close,,GM Police,Jan,,,,06d06a5b06346a19178818e39e7fede0268a422a8a810c180ab9a3562d1e8d02
55,anti-social-behaviour,71193066,53.472036,-2.262729,723196,On or near Park/open Space,,GM Police,Jan,,,,3d3050e4a0c126ad58bb15cc3a7382e63cc7550ad5c5dc582926cb0b11522e64
56,anti-social-behaviour,71192598,53.472248,-2.260259,723303,On or near Arundel Street,,GM Police,Jan,,,,c52a3da8fe1727464439f9109e32eb1f9b63ed88eac5df0db2b7f48198583a10
57,anti-social-behaviour,71193183,53.467610,-2.260337,723287,On or near City Road,,GM Police,Jan,,,,8396ee756f10b071355ccb5ad702eafd5bbf5bb896929ff6ed00b04936ca2365
58,anti-social-behaviour,71193167,53.468291,-2.248757,723356,On or near Reilly Street,,GM Police,Jan,,,,434007ec8c3d8662d283fe8213626aa9a44b108bbed346deb6f5bebf074f2ad4
59,anti-social-behaviour,71193154,53.469676,-2.264899,723251,On or near Malt Street,,GM Police,Jan,,,,dbd6cffa43fc04ac1f4749e86389ec73101dc8169fbf4483790c6aaf128fe10e
60,anti-social-behaviour,71192316,53.466981,-2.264234,723286,On or near Cornbrook Court,,GM Police,Jan,,,,071cc094c0348abb0117fac107d60b60b83191dcbc36a67a909fd53c3598be25
61,anti-social-behaviour,71193244,53.470121,-2.250093,723375,On or near Hulme Street,,GM Police,Jan,,,,0b598a04c54f7c248a9f6a12e97eb1392351b7f67545a02a2764e8d9de4e16b4
62,anti-social-behaviour,71193241,53.473078,-2.232363,723562,On or near Mancunian Way (elevated Road),,GM Police,Jan,,,,a21a9c254907a29f94c6cad537a9ddb80fd75e352c840c6915bf7181af695dc6
63,anti-social-behaviour,71193228,53.473017,-2.226743,723611,On or near Cakebread Street,,GM Police,Jan,,,,7e09b10b820206c7ce40adbafdddd06bba8e106e73989dc44d7092bf6080e7f9
64,anti-social-behaviour,71193227,53.470912,-2.236856,723496,On or near Conference/exhibition Centre,,GM Police,Jan,,,,ae16f7c092401fa8985250fb8f41fdfb5ddefce31cf21b7be164ab23863034bb
65,anti-social-behaviour,71193222,53.468592,-2.241919,723432,On or near Wilmott Street,,GM Police,Jan,,,,65245cd1dc398e16dd22eb71b618572b3a46c942de8433d60dc4d8b87ff5fb06
66,anti-social-behaviour,71193015,53.471081,-2.237926,723442,On or near Oxford Road,,GM Police,Jan,,,,c013acb6b668c5f6c32826725e278168991cf9f049715ad9d5c92942a7d9c439
67,anti-social-behaviour,71192265,53.466243,-2.264425,723288,On or near City Road,,GM Police,Jan,,,,8f3f067289fa483a0c3204cff1ea239c741a1002987996795d775e5fef0852f5
68,anti-social-behaviour,71188600,53.475029,-2.250318,723340,On or near Trafford Street,,GM Police,Jan,,,,aeda34d50ab0110bd64dc5222f4710ea6c4ef65556d4f78f9880ef907acf7dd4
69,anti-social-behaviour,71192257,53.465098,-2.261918,723205,On or near White Street,,GM Police,Jan,,,,c921a2127c22945519dd35daee1fd3b97e7dfb6ccdb99a8d9f0f8dd438f02eb5
70,anti-social-behaviour,71191229,53.473675,-2.239658,723448,On or near Mallard Street,,GM Police,Jan,,,,edf49b9190237ed48bda03f46291862fe9fa406cc2fb2f440d365077887997be
71,anti-social-behaviour,71191228,53.477194,-2.241787,725895,On or near Dickinson Street,,GM Police,Jan,,,,05fb5806b71640db1f157fa3c5f93b346caedf58f861b9a1cbcb8bd15f87dd43
72,anti-social-behaviour,71191217,53.477477,-2.239785,725903,On or near Nightclub,,GM Police,Jan,,,,b88f3bf1b473258ba27136cd933dfc32fe7e3c80cf6f598eec385a38543ad9fd
73,anti-social-behaviour,71191208,53.481250,-2.236341,725945,On or near Piccadilly,,GM Police,Jan,,,,4c352f56616436a46a720c0a00911419ff523acc45f361f70ea41b360f296ff2
74,anti-social-behaviour,71191207,53.480850,-2.247534,726113,On or near Nightclub,,GM Police,Jan,,,,006b6c662f65128fe00a5d93b9637a2cc8da87818dadc40861d63298f82c2bdf
75,anti-social-behaviour,71191206,53.485418,-2.237554,725935,On or near Shudehill,,GM Police,Jan,,,,1a4650bef327a8c53273af811331d6f2877c5c461e6223431a0e23c353ad0162
76,anti-social-behaviour,71191205,53.474162,-2.247977,723410,On or near Albion Street,,GM Police,Jan,,,,682ec0674e26c245d5aa5d82489e4b4347c0d8f4a47bcc705ef970c6248015da
77,anti-social-behaviour,71191204,53.480913,-2.247324,726117,On or near Nightclub,,GM Police,Jan,,,,98f0f5c508de7b9ce9c1b0ddb7f6584a1d6f3127764f79163f0bac7485d9578b
78,anti-social-behaviour,71191200,53.486338,-2.244974,726090,On or near Chapel Street,,GM Police,Jan,,,,fa1b40714eec2eff57b2bd04250b793260124412856d45af0664c164359d1450
79,anti-social-behaviour,71191198,53.474111,-2.237536,723472,On or near Charles Street,,GM Police,Jan,,,,a2e4df578b1a69df1ce0644a5068c1b07b0f7129a5288041b7c2413fb5cf4bd5
80,anti-social-behaviour,71191196,53.478199,-2.247338,726061,On or near Marron Place,,GM Police,Jan,,,,ead0a12ddc65ebaf84d6bcac159edc3399ca1f6d69e2f9fce8f14d5587c4de82
81,anti-social-behaviour,71191195,53.479408,-2.217360,725781,On or near Oswald Street,,GM Police,Jan,,,,274f4999b3558ebd770d5bb4f19834fea533bfdd37591d5af401c9e748d3d2aa
82,anti-social-behaviour,71191194,53.478199,-2.247338,726061,On or near Marron Place,,GM Police,Jan,,,,c80f60a43649f1a849ce6bbc4a59ccfb5c9ff2753088c4edb5b43cdcf4e72dea
83,anti-social-behaviour,71191187,53.479976,-2.235083,725963,On or near Hope Street,,GM Police,Jan,,,,6253f59424be2639528ef2e73e3966066cb3dec65a6dc125d9d1f1af356eb4cd
84,anti-social-behaviour,71191186,53.479835,-2.238126,725916,On or near Parking Area,,GM Police,Jan,,,,e6e31eb70ca5d3838157ecf438712936b0920741d21d41c91a569fc38f97d6f7
85,anti-social-behaviour,71191185,53.478672,-2.240093,725913,On or near Parking Area,,GM Police,Jan,,,,b21c4507219863e7c53a028e1b092212f2492da87f1e67fcdcadccf04830ccf6
86,anti-social-behaviour,71191181,53.479835,-2.238126,725916,On or near Parking Area,,GM Police,Jan,,,,149100aca43663df0a70d38bd79c395422f6fd6da7500190610a5f15a9e8b4e4
87,anti-social-behaviour,71191176,53.480850,-2.247534,726113,On or near Nightclub,,GM Police,Jan,,,,f4b8e113078ef16ba41e36dcd02e22496902d1fbcc7f21595c3dacbe24cb01ac
88,anti-social-behaviour,71191175,53.479976,-2.235083,725963,On or near Hope Street,,GM Police,Jan,,,,692e3a6f35dc7ccedd44dbd98bc55119569edea07d48143b99c474abffe8dcfa
89,anti-social-behaviour,71190657,53.482225,-2.238637,726011,On or near Shopping Area,,GM Police,Jan,,,,19b95ddc500f5c18380031804a33892561795b4b29097a0f48dd85243d24da8e
90,anti-social-behaviour,71190652,53.481250,-2.236341,725945,On or near Piccadilly,,GM Police,Jan,,,,72bcc585b610cd1f761963946f5471e42760cc680ab96e7f46fb50421fbfe021
91,anti-social-behaviour,71190651,53.483382,-2.235328,725925,On or near Tib Street,,GM Police,Jan,,,,f142ef8894e3155acdbc4100d3fa313b1aaaf7bbeb2f17b57629b0482dea87e8
92,anti-social-behaviour,71190648,53.475608,-2.243782,723397,On or near Chepstow Street,,GM Police,Jan,,,,8a75d7e2e32b83b2b4f1b0fe2348a3550adf15e09e466618c05f340df0e39f18
93,anti-social-behaviour,71190646,53.480434,-2.235357,725942,On or near Portland Street,,GM Police,Jan,,,,671950f2c21703fa8af8635bf73db4b7bb5b592604b4a9477edbd058db3fb91a
94,anti-social-behaviour,71190643,53.472266,-2.243326,723455,On or near Hulme Street,,GM Police,Jan,,,,b0c0aefa613f2b6e25027d4776f39eba7c2d029ce08b4709ffda5d1453514cf4
95,anti-social-behaviour,71190641,53.484496,-2.244813,726092,On or near Cateaton Street,,GM Police,Jan,,,,dfc8bc24d862fecdd82dc95246c8b33e0d26a93632b4a6e9c6fb6967ecf65489
96,anti-social-behaviour,71190636,53.484793,-2.240007,725923,On or near Well Street,,GM Police,Jan,,,,d27c936835cf6e97548ea779b132dcb38e1707cd85b26ba9ea42bf46654b2583
97,anti-social-behaviour,71190635,53.480698,-2.224524,725784,On or near Old Mill Street,,GM Police,Jan,,,,55450c57c272b2642a57e00a069b089a3c483b439943d4fa3d4a9a83843627fa
98,anti-social-behaviour,71190634,53.481250,-2.236341,725945,On or near Piccadilly,,GM Police,Jan,,,,2e4a32a9010c47403a0791a6d09101585a13eaad3db5f7cfb2623783c7ce9509
99,anti-social-behaviour,71190633,53.484631,-2.244738,726116,On or near Conference/exhibition Centre,,GM Police,Jan,,,,82481c8219af9683760e1f82f59d98bfa45127b51e8c4e6bccdd2131e6b3de17
100,anti-social-behaviour,71190628,53.475420,-2.243480,723396,On or near Chepstow Street South,,GM Police,Jan,,,,35befc4db176159eb419bb1c3ccf66753229a5d4aaab0e6536ba09f2bb86caa1
101,anti-social-behaviour,71190625,53.482641,-2.246399,726114,On or near Nightclub,,GM Police,Jan,,,,eb55ecc5386043d82fbaf86f853af03b89c8292b72def9d548379a049a9e18fd
102,anti-social-behaviour,71190624,53.475073,-2.237527,723494,On or near Nightclub,,GM Police,Jan,,,,61823d07ac138bf8cc456becb22583e80a0fcab57b43b19df5be894ef79ce6d8
103,anti-social-behaviour,71190621,53.483444,-2.231546,725805,On or near Houldsworth Street,,GM Police,Jan,,,,a6d493ff140d7fb9d0d1c6a9defc4501e655eaeb312b909cf8d0e36afc16e6b9
104,anti-social-behaviour,71190618,53.474111,-2.237536,723472,On or near Charles Street,,GM Police,Jan,,,,8a98383e8286f9385665b957a8f8a24914e29eab85f0f6c3e4714e06839d4d41
105,anti-social-behaviour,71190616,53.478672,-2.240093,725913,On or near Parking Area,,GM Police,Jan,,,,2044e41bf4c901ebfdc99a7816198db78af3a98a8d0714ae0da641f4d48951e1
106,anti-social-behaviour,71190615,53.483271,-2.237362,725941,On or near Red Lion Street,,GM Police,Jan,,,,1a68f284238f6606ffebafd815f9d6cfc03e604ed6629e23833114882bda9d3f
107,anti-social-behaviour,71190613,53.476636,-2.238002,725900,On or near Nightclub,,GM Police,Jan,,,,78b781359c475e29a510c667b5f02ca1f5fcab865b7c319dd5b9410def598618
108,anti-social-behaviour,71190612,53.479976,-2.235083,725963,On or near Hope Street,,GM Police,Jan,,,,745499fc85a2638ce73d74647f5c358cabc8098cb657e94e8344f5edb567dfca
109,anti-social-behaviour,71190609,53.476377,-2.250416,725875,On or near Parking Area,,GM Police,Jan,,,,d89bb32cb666f3f062add9b7b0eece9a3704ce5f33f61aafdaa93f50733a4f52
110,anti-social-behaviour,71190607,53.481316,-2.234819,725993,On or near Back Piccadilly,,GM Police,Jan,,,,221a3e2838152ded0594c486794202c620f255827bd4487a90a810410f66ed91
111,anti-social-behaviour,71190606,53.478844,-2.225614,725830,On or near Chapeltown Street,,GM Police,Jan,,,,5abc8a876987ffada0ff4b46460e04607a84de3d78b36ca50e1f517fe134005b
112,anti-social-behaviour,71190605,53.475692,-2.237816,723312,On or near Whitworth Street,,GM Police,Jan,,,,a6c53bba18bebc66a0bf16c4bfe8a4bbbf8fd6e9dee0272960acb485c6b8a79e
113,anti-social-behaviour,71190603,53.482125,-2.234929,725974,On or near Dale Street,,GM Police,Jan,,,,dea098ff657177a33635addd3052253ee588bb9bac2127c4f8bd229d088ed819
114,anti-social-behaviour,71190601,53.479547,-2.238757,725944,On or near Pine Street,,GM Police,Jan,,,,c293ee3d8205ba6f9f1d00761a57313267d7c250be650301a66c1887e83926f4
115,anti-social-behaviour,71190600,53.484873,-2.231704,725794,On or near Luna Street,,GM Police,Jan,,,,1c47a8ffe224051d4afef253f58bedd9fd54f32d10da454aa6306046ab709b4c
116,anti-social-behaviour,71190598,53.481278,-2.231428,725797,On or near Lizard Street,,GM Police,Jan,,,,d10f61f57bf52558f5c60d59bee30a04ddaf5aac175055b1070b03619e389638
117,anti-social-behaviour,71190448,53.485430,-2.236454,725951,On or near New George Street,,GM Police,Jan,,,,3ba1736c53616e1a9413815466dcb648fabd67a1e4102f1f34d5136f6780efd9
118,anti-social-behaviour,71189780,53.480912,-2.243406,725960,On or near King Street,,GM Police,Jan,,,,ff34be29850c4a6535a64a5728999fa53c228fa405ba64e53206df64d208d6bb
119,anti-social-behaviour,71189779,53.475420,-2.243480,723396,On or near Chepstow Street South,,GM Police,Jan,,,,6dac992819451690e39fcd6bcb6a6d634276157e30f0c0420f9fcf063274ac4e
120,anti-social-behaviour,71189773,53.483709,-2.214896,725737,On or near Beswick Street,,GM Police,Jan,,,,7a56dbe0117d96e8546cdf21689aa1a1acdf3a97029acafa7a43cdc348304a13
121,anti-social-behaviour,71189770,53.474767,-2.242000,723497,On or near Supermarket,,GM Police,Jan,,,,bfdf6df8d9f20a85187cb4cd69e3a2b47c87443a1f2f47089d18aef8e2caf1bb
122,anti-social-behaviour,71189769,53.480277,-2.237782,725946,On or near Parker Street,,GM Police,Jan,,,,e274f3b3ab1784656a8307b1a9317c80fcfd224b50e1d6e222d268632358ea1a
123,anti-social-behaviour,71189768,53.483382,-2.235328,725925,On or near Tib Street,,GM Police,Jan,,,,bc5d9e08d8b298222f0f531c643daab6054ec4d73bc907c2ef93b1cdccd47189
124,anti-social-behaviour,71189765,53.472272,-2.249066,723394,On or near City Road East,,GM Police,Jan,,,,c9599e5741cd292ea3ef4a7da1a31da0adb069598b353e5c5f8704622100ba5f
125,anti-social-behaviour,71189760,53.488562,-2.243178,725909,On or near Pedestrian Subway,,GM Police,Jan,,,,2e3fbb47692105715c76e46391dbb2b60956ca4eda118862dc44ae8beacae3b7
126,anti-social-behaviour,71189759,53.486338,-2.244974,726090,On or near Chapel Street,,GM Police,Jan,,,,2d88f8e5631123f072e9b6b8af29d20cc5963ceba9fef3fb18334859c0d5d111
127,anti-social-behaviour,71189758,53.481250,-2.236341,725945,On or near Piccadilly,,GM Police,Jan,,,,cdb826c66b0d80961a7e94621da579b5478835ab5ce9073b6e881e5e071929b5
128,anti-social-behaviour,71189757,53.479880,-2.242812,725990,On or near Booth Street,,GM Police,Jan,,,,50a3ac8e2cea4e5406a7a3e0ceb089a503ae5fc9454f353295acaa6ecb836eb9
129,anti-social-behaviour,71189755,53.477502,-2.249579,725886,On or near Shopping Area,,GM Police,Jan,,,,ebe8b1a4acdf1900e98d46ec4e7e9fb306ec3f1648ec408309ef03c30ff75b56
130,anti-social-behaviour,71189754,53.482225,-2.238637,726011,On or near Shopping Area,,GM Police,Jan,,,,408bd08d7a2c36149bd17b66c3b4761f95849b5a5450f02003593dfebb3381dc
131,anti-social-behaviour,71189750,53.476341,-2.232396,725720,On or near Back Acton Street,,GM Police,Jan,,,,cb92d7d4074f47cfee48604ad23071b54c8c4601de388080f1270add950efc33
132,anti-social-behaviour,71189748,53.477477,-2.239785,725903,On or near Nightclub,,GM Police,Jan,,,,4fd41dce42609d878ddf34b06500e0a8b2bc114ace5512b26a9b1ff2e05be642
133,anti-social-behaviour,71189747,53.479184,-2.240367,726005,On or near Nightclub,,GM Police,Jan,,,,28877393d594aa792004411d3e343f03a5554c3229d15771fe3ce30ae74e777f
134,anti-social-behaviour,71189744,53.484775,-2.221471,725821,On or near Downley Drive,,GM Police,Jan,,,,194efc65c7cea676c607dd031761eba0fb63e122e54f238f02931f71c378a650
135,anti-social-behaviour,71189742,53.478340,-2.239594,725910,On or near Parking Area,,GM Police,Jan,,,,f163367f11120dfd5c949e2007cb2672e7ebbbd3596f380619ac1c2f995691cf
136,anti-social-behaviour,71189741,53.477841,-2.237557,725995,On or near Bus/coach Station,,GM Police,Jan,,,,bfa64892918088f4fbdab8a5f2ee76bdf513d8d337dc40b0917c98e6d636e24a
137,anti-social-behaviour,71189739,53.480466,-2.241791,725978,On or near Concert Lane,,GM Police,Jan,,,,c89edc203ba9f22fc8c12e4ac5595d5c754371bf342af16a9fa21258fcc3f3c4
138,anti-social-behaviour,71189737,53.478728,-2.252072,726050,On or near Quay Street,,GM Police,Jan,,,,e04f70671dd2e08fcf570bc4fc06d192835dde161a6756394701a9eda4d2db19
139,anti-social-behaviour,71189736,53.482263,-2.233182,726139,On or near Hilton Street,,GM Police,Jan,,,,98e2e1585ca0ea57ba55bb56515d85d6e1982531fd93208f6011ba9af5c2004a
140,anti-social-behaviour,71189735,53.477194,-2.241787,725895,On or near Dickinson Street,,GM Police,Jan,,,,e4678fc78768c35c945decf8658b0c21625214640e0b8759ab3db67957e72973
141,anti-social-behaviour,71189733,53.477330,-2.236952,725891,On or near Richmond Street,,GM Police,Jan,,,,adcfe9cdba1c24d9007682b3a186a3a72d5184d51b4a17e287bad7338d2b2799
142,anti-social-behaviour,71189731,53.482359,-2.220283,725751,On or near Upper Kirby Street,,GM Police,Jan,,,,8841200bb3b5da4840735c3a318fca4b0a9c05adc251b08e8898d6ebe6849fd0
143,anti-social-behaviour,71189729,53.479107,-2.242853,725977,On or near Cooper Street,,GM Police,Jan,,,,b9e90ad7185597c5004499b57a1a3bd4c8711779aa4c7abfcca12dfdf1f13dd8
