pokemon_id,pokemon_name,form,bol_release,max_cp,base_hp,base_attack,base_defense,Grass,Fire,Water,Bug,Normal,Dark,Poison,Electric,Ice,Ground,Fairy,Fighting,Psychic,Rock,Ghost,Dragon,Steel,Flying,pct_catch,pct_flee,fast_moves,charge_moves,img_link
20,Raticate,Normal,1,1730,146,161,139,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20%,7%,BiteQuick Attack,Hyper BeamDigHyper FangFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png
21,Spearow,Normal,1,798,120,112,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,50%,15%,PeckQuick Attack,Drill PeckAerial AceSky Attack,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png
22,Fearow,Normal,1,1997,163,182,133,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20%,7%,PeckSteel Wing,Aerial AceDrill RunSky Attack,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png
23,Ekans,Normal,1,927,111,110,97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50%,15%,AcidPoison Sting,WrapPoison FangSludge Bomb,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png
24,Arbok,Normal,1,1921,155,167,153,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20%,7%,BiteAcidDragon Tail,Dark PulseSludge WaveGunk ShotAcid Spray,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png
25,Pikachu,Normal,1,938,111,112,96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20%,10%,Thunder ShockQuick Attack,DischargeThunderboltWild ChargeSurf (Community Day),https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png
26,Raichu,Alola,1,2286,155,201,154,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,10%,6%,Thunder ShockSparkVolt Switch,Thunder PunchPsychicWild ChargeGrass Knot,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png
26,Raichu,Normal,1,2182,155,193,151,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10%,6%,Thunder ShockSparkVolt SwitchCharm,Thunder PunchBrick BreakWild ChargeSkull Bash,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png
27,Sandshrew,Alola,1,1293,137,125,129,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,50%,10%,Metal ClawPowder Snow,BlizzardNight SlashGyro Ball,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png
27,Sandshrew,Normal,1,1261,137,126,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50%,10%,Mud ShotScratch,DigRock SlideSand TombFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png
28,Sandslash,Alola,1,2432,181,177,195,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,20%,6%,Metal ClawPowder Snow,Ice PunchBlizzardBulldozeGyro Ball,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png
28,Sandslash,Normal,1,2374,181,182,175,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20%,6%,Mud ShotMetal Claw,EarthquakeRock TombBulldozeFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png
29,Nidoran♀,Normal,1,816,146,86,89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50%,15%,BitePoison Sting,Poison FangSludge BombBody Slam,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png
30,Nidorina,Normal,1,1309,172,117,120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25%,7%,BitePoison Sting,DigPoison FangSludge Bomb,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png
31,Nidoqueen,Normal,1,2488,207,180,173,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12.5%,5%,BitePoison Jab,EarthquakeStone EdgeSludge WaveEarth Power,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png
32,Nidoran♂,Normal,1,860,130,105,76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50%,15%,PeckPoison Sting,Sludge BombHorn AttackBody Slam,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png
33,Nidorino,Normal,1,1393,156,137,111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25%,7%,Poison JabPoison Sting,DigSludge BombHorn Attack,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png
34,Nidoking,Normal,1,2567,191,204,156,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12.5%,5%,Poison JabIron Tail,MegahornEarthquakeSludge WaveEarth Power,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png
35,Clefairy,Normal,1,1155,172,107,108,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30%,10%,PoundZen Headbutt,Disarming VoiceMoonblastBody Slam,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png
36,Clefable,Normal,1,2437,216,178,162,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10%,6%,Zen HeadbuttCharge BeamCharm,Dazzling GleamMoonblastPsychicMeteor Mash,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png
37,Vulpix,Alola,1,883,116,96,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30%,10%,Zen HeadbuttPowder Snow,Dark PulseIce BeamBlizzard,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png
37,Vulpix,Normal,1,883,116,96,109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30%,10%,EmberQuick Attack,FlamethrowerFlame ChargeBody Slam,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png
38,Ninetales,Alola,1,2309,177,170,193,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10%,6%,Feint AttackPowder SnowCharm,Ice BeamBlizzardPsyshockDazzling Gleam,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png
38,Ninetales,Normal,1,2279,177,169,190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10%,6%,Feint AttackFire Spin,Heat WavePsyshockSolar BeamOverheat,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png
39,Jigglypuff,Normal,1,724,251,80,41,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,50%,10%,PoundFeint Attack,Disarming VoiceDazzling GleamGyro Ball,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png
40,Wigglytuff,Normal,1,1926,295,156,90,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,20%,6%,PoundFeint AttackCharm,Hyper BeamIce BeamDazzling GleamPlay Rough,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png
41,Zubat,Normal,1,667,120,83,73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50%,20%,BiteQuick Attack,Poison FangAir CutterSwiftFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png
42,Golbat,Normal,1,1976,181,161,150,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20%,7%,BiteWing Attack,Poison FangShadow BallAir CutterFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png
43,Oddish,Normal,1,1228,128,131,112,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60%,15%,Razor LeafAcid,Seed BombMoonblastSludge BombFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png
44,Gloom,Normal,1,1681,155,153,136,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30%,7%,Razor LeafAcid,Petal BlizzardMoonblastSludge BombFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png
45,Vileplume,Normal,1,2559,181,202,167,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15%,5%,Razor LeafAcid,Petal BlizzardMoonblastSludge BombSolar BeamFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png
46,Paras,Normal,1,1018,111,121,99,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40%,15%,Bug BiteScratch,Seed BombCross PoisonX-Scissor,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png
47,Parasect,Normal,1,1859,155,165,146,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20%,7%,Fury CutterStruggle Bug,Cross PoisonX-ScissorSolar Beam,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png
48,Venonat,Normal,1,1004,155,100,100,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50%,15%,Bug BiteConfusion,PsybeamPoison FangSignal BeamFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png
49,Venomoth,Normal,1,2082,172,179,143,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20%,7%,ConfusionInfestation,Bug BuzzPoison FangPsychicSilver WindFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png
50,Diglett,Alola,1,681,67,108,81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,50%,10%,Metal ClawMud-Slap,DigRock TombMud Bomb,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png
50,Diglett,Normal,1,676,67,109,78,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50%,10%,ScratchMud-Slap,DigRock TombMud Bomb,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png
51,Dugtrio,Alola,1,1897,111,201,142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,20%,6%,Metal ClawMud-Slap,EarthquakeIron HeadMud Bomb,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png
51,Dugtrio,Normal,1,1567,111,167,136,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20%,6%,Sucker PunchMud-Slap,EarthquakeStone EdgeMud Bomb,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png
52,Meowth,Alola,1,797,120,99,78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50%,15%,BiteScratch,Dark PulseNight SlashFoul Play,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png
52,Meowth,Normal,1,748,120,92,78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,15%,BiteScratch,Dark PulseNight SlashFoul PlayFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png
53,Persian,Alola,1,1771,163,158,136,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20%,7%,ScratchFeint Attack,Dark PulsePlay RoughFoul Play,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png
53,Persian,Normal,1,1689,163,150,136,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20%,7%,ScratchFeint Attack,Power GemPlay RoughFoul PlayFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/persian.png
54,Psyduck,Normal,1,1106,137,122,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,10%,Water GunZen Headbutt,Cross ChopPsybeamAqua TailFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png
55,Golduck,Normal,1,2450,190,191,162,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20%,6%,Water GunConfusion,Cross ChopIce BeamBubble BeamHydro PumpPsychicFrustration (Shadow)Return (Shadow)Synchronoise,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png
56,Mankey,Normal,1,1164,120,148,82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50%,10%,Karate ChopScratch,Cross ChopLow SweepBrick Break,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png
57,Primeape,Normal,1,2288,163,207,138,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20%,6%,Low KickCounter,Night SlashLow SweepClose Combat,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png
58,Growlithe,Normal,1,1243,146,136,93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30%,10%,BiteEmber,Flame WheelFlamethrowerBody SlamFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png
59,Arcanine,Normal,1,3029,207,227,166,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10%,6%,Fire FangSnarlThunder Fang,FlamethrowerFire BlastWild ChargeCrunchFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png
60,Poliwag,Normal,1,829,120,101,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,15%,Mud ShotBubble,Bubble BeamMud BombBody SlamFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png
61,Poliwhirl,Normal,1,1419,163,130,123,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,7%,Mud ShotBubble,Bubble BeamMud BombWater PulseFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png
62,Poliwrath,Normal,1,2586,207,182,184,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.5%,5%,Mud ShotBubbleRock Smash,Ice PunchHydro PumpDynamic PunchPower-Up PunchFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png
63,Abra,Normal,1,1342,93,195,82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50%,99%,Zen HeadbuttCharge Beam,PsyshockShadow BallSignal BeamFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/abra.png
64,Kadabra,Normal,1,2059,120,232,117,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25%,7%,Psycho CutConfusion,PsybeamShadow BallDazzling GleamFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png
65,Alakazam,Normal,1,3057,146,271,167,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10%,5%,Psycho CutConfusion,Shadow BallFire PunchFocus BlastFuture SightFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png
66,Machop,Normal,1,1278,172,137,82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50%,10%,Karate ChopRock Smash,Cross ChopLow SweepBrick Break,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png
67,Machoke,Normal,1,2031,190,177,125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25%,7%,Low KickKarate Chop,SubmissionBrick BreakDynamic Punch,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png
68,Machamp,Normal,1,3056,207,234,159,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10%,5%,Bullet PunchCounter,Cross ChopRock SlideClose CombatDynamic PunchHeavy Slam,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png
69,Bellsprout,Normal,1,1033,137,139,61,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50%,15%,Vine WhipAcid,WrapSludge BombPower WhipFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png
70,Weepinbell,Normal,1,1611,163,172,92,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25%,7%,AcidBullet Seed,Seed BombSludge BombPower WhipFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png
71,Victreebel,Normal,1,2431,190,207,135,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.5%,5%,Razor LeafAcid,Sludge BombSolar BeamLeaf BladeAcid SprayLeaf TornadoFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png
72,Tentacool,Normal,1,1040,120,97,149,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50%,15%,Poison StingBubble,WrapBubble BeamWater Pulse,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png
73,Tentacruel,Normal,1,2422,190,166,209,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20%,7%,Poison JabAcid,BlizzardSludge WaveHydro PumpAcid Spray,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png
74,Geodude,Alola,1,1293,120,132,132,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,50%,10%,Rock ThrowVolt Switch,Rock TombRock SlideThunderbolt,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png
74,Geodude,Normal,1,1293,120,132,132,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,50%,10%,TackleRock Throw,DigRock TombRock Slide,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png
75,Graveler,Alola,1,1897,146,164,164,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,25%,7%,Rock ThrowVolt Switch,Stone EdgeThunderboltRock Blast,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png
75,Graveler,Normal,1,1897,146,164,164,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,25%,7%,Rock ThrowMud-Slap,DigStone EdgeRock Blast,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png
76,Golem,Alola,1,2949,190,211,198,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12.5%,5%,Rock ThrowVolt Switch,Stone EdgeWild ChargeRock Blast,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png
76,Golem,Normal,1,2949,190,211,198,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12.5%,5%,Rock ThrowMud-Slap,EarthquakeStone EdgeAncient PowerRock Blast,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png
77,Ponyta,Normal,1,1697,137,170,127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40%,10%,EmberTackle,Flame WheelFlame ChargeStomp,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png
78,Rapidash,Normal,1,2461,163,207,162,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15%,6%,Low KickFire Spin,Heat WaveDrill RunFire Blast,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png
79,Slowpoke,Normal,1,1226,207,109,98,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50%,10%,Water GunConfusion,PsyshockWater PulsePsychic,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png
80,Slowbro,Normal,1,2545,216,177,180,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20%,6%,Water GunConfusion,Ice BeamWater PulsePsychic,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png
81,Magnemite,Normal,1,1362,93,165,121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,50%,10%,Thunder ShockSpark,DischargeMagnet BombThunderboltFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png
82,Magneton,Normal,1,2485,137,223,169,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,20%,6%,Thunder ShockSparkCharge Beam,DischargeFlash CannonMagnet BombZap CannonFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png
83,Farfetch’d,Normal,1,1236,141,124,115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,30%,9%,Fury CutterAir Slash,Aerial AceLeaf BladeAir Cutter,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png
84,Doduo,Normal,1,1200,111,158,83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,50%,10%,PeckQuick Attack,Drill PeckAerial AceBrave Bird,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png
85,Dodrio,Normal,1,2362,155,218,140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20%,6%,Feint AttackSteel Wing,Drill PeckAerial AceBrave Bird,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png
86,Seel,Normal,1,971,163,85,121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,9%,LickIce Shard,Aqua TailIcy WindAurora Beam,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png
87,Dewgong,Normal,1,1985,207,139,177,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20%,6%,Frost BreathIron Tail,BlizzardWater PulseAurora Beam,https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png
88,Grimer,Alola,1,1374,190,135,90,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,50%,10%,BitePoison Jab,Sludge BombGunk ShotCrunch,https://img.pokemondb.net/sprites/sword-shield/icon/grimer-alolan.png
