title,year,rated,released_spain,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings,metascore,imdb_rating,imdb_votes,imdb_id,type,dvd,boxoffice,production,response
From Russia with Love,1963,PG,27 May 1964,115 min,"Action, Adventure, Thriller",Terence Young,"Richard Maibaum (screenplay), Johanna Harwood (adaptation)","Sean Connery, Daniela Bianchi, Pedro Armendáriz, Lotte Lenya",James Bond willingly falls into an assassination plot involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by S.P.E.C.T.R.E.,"English, Russian, Turkish, Romany",UK,Nominated for 1 Golden Globe. Another 3 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BZjBiNGNlNmItZTk2Zi00YjRlLTk1NzEtNDI2YTNmN2EwNDhlXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,7.4,"109,544",tt0057076,movie,28 Mar 2006,,United Artists,True
From Paris with Love,2010,R,05 Feb 2010,92 min,"Action, Crime, Thriller",Pierre Morel,"Adi Hasak (screenplay), Luc Besson (story)","John Travolta, Jonathan Rhys Meyers, Kasia Smutniak, Richard Durden","In Paris, a young employee in the office of the US Ambassador hooks up with an American spy looking to stop a terrorist attack in the city.","English, French, Mandarin, German",France,,https://m.media-amazon.com/images/M/MV5BODAwMDFjNjktMWY2Mi00MmVhLWI0MjYtNzg4OTI0NzA5YzBjXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.5,"108,795",tt1179034,movie,08 Jun 2010,"$23,979,741",Lionsgate Films,True
"Love, Simon",2018,PG-13,16 Mar 2018,110 min,"Comedy, Drama, Romance",Greg Berlanti,"Becky Albertalli (based upon the novel ""Simon vs. the Homo Sapiens Agenda"" by), Elizabeth Berger (screenplay by), Isaac Aptaker (screenplay by)","Nick Robinson, Jennifer Garner, Josh Duhamel, Katherine Langford","Simon Spier keeps a huge secret from his family, his friends and all of his classmates: he's gay. When that secret is threatened, Simon must face everyone and come to terms with his identity.","English, German, French",USA,8 wins & 24 nominations.,https://m.media-amazon.com/images/M/MV5BNTMyZDdiMzUtZjcxNS00Mjc3LTljY2UtYjI4YmY5NzJlYjc1XkEyXkFqcGdeQXVyMTA5OTkwNTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.6,"88,901",tt5164432,movie,12 Jun 2018,,20th Century Fox,True
I Love You Phillip Morris,2009,R,07 Jan 2011,98 min,"Biography, Comedy, Crime, Drama, Romance","Glenn Ficarra, John Requa","John Requa, Glenn Ficarra, Steve McVicker (book)","Jim Carrey, Ewan McGregor, Leslie Mann, Rodrigo Santoro","A cop turns con man once he comes out of the closet. Once imprisoned, he meets the second love of his life, whom he'll stop at nothing to be with.",English,"France, USA",6 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BNDkzMjkwNjc5NV5BMl5BanBnXkFtZTcwNzEyOTk5Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.6,"88,737",tt1045772,movie,05 Apr 2011,"$2,026,852",Roadside Attractions,True
Eat Pray Love,2010,PG-13,13 Aug 2010,133 min,"Drama, Romance",Ryan Murphy,"Ryan Murphy (screenplay), Jennifer Salt (screenplay), Elizabeth Gilbert (book)","Julia Roberts, I. Gusti Ayu Puspawati, Hadi Subiyanto, Billy Crudup","A married woman realizes how unhappy her marriage really is, and that her life needs to go in a different direction. After a painful divorce, she takes off on a round-the-world journey to ""find herself"".","English, Italian, Portuguese",USA,2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTY5NDkyNzkyM15BMl5BanBnXkFtZTcwNDQyNDk0Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,5.8,"81,783",tt0879870,movie,23 Nov 2010,"$80,574,010",Sony Pictures,True
To Rome with Love,2012,R,06 Jul 2012,112 min,"Comedy, Music, Romance",Woody Allen,Woody Allen,"Pierluigi Marchionne, Flavio Parenti, Alison Pill, Alessandro Tiberi","The lives of some visitors and residents of Rome and the romances, adventures and predicaments they get into.","English, Italian","USA, Italy, Spain",2 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMTcwNTg4MDMxM15BMl5BanBnXkFtZTcwNjAzMzY3Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.3,"81,074",tt1859650,movie,15 Jan 2013,"$16,500,000",Sony Pictures Classics,True
Stuck in Love.,2012,R,02 May 2013,97 min,"Comedy, Drama, Romance",Josh Boone,Josh Boone,"Greg Kinnear, Jennifer Connelly, Lily Collins, Nat Wolff","An acclaimed writer, his ex-wife, and their teenaged children come to terms with the complexities of love in all its forms over the course of one tumultuous year.",English,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BMTU1NzI5MDU3OV5BMl5BanBnXkFtZTcwNTE0NDMzOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,7.2,"80,150",tt2205697,movie,08 Oct 2013,"$100,000",Millenium Entertainment,True
A Lot Like Love,2005,PG-13,22 Apr 2005,107 min,"Comedy, Drama, Romance",Nigel Cole,Colin Patrick Lynch,"Amanda Peet, Ashton Kutcher, Taryn Manning, Aimee Garcia",Unaquainted Emily and Oliver join the mile high club together on the way from LAX to NYC - end of story except they meet on and off the next 7 years. Are they meant for each other?,"English, American Sign Language",USA,1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTQyMjU1MTYxNl5BMl5BanBnXkFtZTcwMjI2MjgyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,6.6,"65,452",tt0391304,movie,23 Aug 2005,"$21,835,784",Touchstone Pictures,True
Love Me If You Dare,2003,R,28 May 2004,93 min,"Comedy, Drama, Romance",Yann Samuell,Yann Samuell,"Guillaume Canet, Marion Cotillard, Thibault Verhaeghe, Joséphine Lebas-Joly","As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, their game might be a way to avoid the fact that they are truly meant for one another.",French,"France, Belgium",5 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BNjIwOGJhY2QtMTA5Yi00MDhlLWE5OTgtYmIzZDNlM2UwZjMyXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,7.6,"64,787",tt0364517,movie,19 Oct 2004,"$449,282",Paramount Classics,True
Wristcutters: A Love Story,2006,R,02 Nov 2007,88 min,"Comedy, Drama, Fantasy, Romance",Goran Dukic,"Goran Dukic, Etgar Keret (novel)","Will Arnett, Abraham Benrubi, Leslie Bibb, Mark Boone Junior",A film set in a strange afterlife way station that has been reserved for people who have committed suicide.,"English, Russian","USA, UK",9 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BOGU3NTRhYWYtZWI3YS00NTZjLTliMWUtNTIyMGQ1MzliMjFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,7.3,"51,998",tt0477139,movie,18 May 1999,,,True
The Love Guru,2008,PG-13,20 Jun 2008,87 min,"Comedy, Romance, Sport",Marco Schnabel,"Mike Myers, Graham Gordy","Jessica Simpson, Kanye West, Mike Myers, Deepak Chopra","Pitka, an American raised outside of his country by gurus, returns to the States in order to break into the self-help business. His first challenge is to settle the romantic troubles and subsequent professional skid of a star hockey player whose wife left him for a rival athlete.",English,"UK, Germany, USA",5 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BMTg3OTY1MTQ3MF5BMl5BanBnXkFtZTcwMDIzMTM3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",24,3.8,"48,853",tt0811138,movie,16 Sep 2008,"$32,178,777",Paramount Pictures,True
Show Me Love,1998,Not Rated,23 Oct 1998,89 min,"Comedy, Drama, Romance",Lukas Moodysson,Lukas Moodysson,"Alexandra Dahlström, Rebecka Liljeberg, Erica Carlson, Mathias Rust","Two teenage girls in small-town Sweden. Elin is beautiful, popular, and bored with life. Agnes is friendless, sad, and secretly in love with Elin.",Swedish,"Sweden, Denmark",19 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BY2NhMzRmMGYtNjA5OC00OTkzLThiN2UtZjA0ZmM2M2M0MzFlXkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.5,"48,314",tt0150662,movie,03 Oct 2000,,Strand Releasing,True
"New York, I Love You",2008,R,16 Oct 2009,103 min,"Comedy, Drama, Romance","Fatih Akin, Yvan Attal, Randall Balsmeyer, Allen Hughes, Shunji Iwai, Wen Jiang, Shekhar Kapur, Joshua Marston, Mira Nair, Natalie Portman, Brett Ratner","Hu Hong (segment), Yao Meng (segment), Israel Horovitz (adaptation), Suketu Mehta (segment), Shunji Iwai (segment), Israel Horovitz (adaptation), Olivier Lécot (segment), Jeff Nathanson (segment), Xan Cassavetes (segment), Stephen Winter (segment), Anthony Minghella (segment), Natalie Portman (segment), Fatih Akin (segment), Joshua Marston (segment), Hall Powell (transitions ""Randy Balsmeyer""), Israel Horovitz (transitions ""Randy Balsmeyer""), Jim Strouse (transitions ""Randy Balsmeyer""), Emmanuel Benbihy (concept)","Hayden Christensen, Andy Garcia, Rachel Bilson, Natalie Portman","Eleven love stories set in one of the most loved and hated cities of the world, New York City.","English, French, Cantonese, Gujarati, Yiddish",USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTI3NDYxOTM4OF5BMl5BanBnXkFtZTcwOTEwNTI4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.3,"43,704",tt0808399,movie,02 Feb 2010,"$1,600,000",Vivendi Entertainment,True
American Pie Presents: The Book of Love,2009,R,22 Dec 2009,93 min,Comedy,John Putch,"David H. Steinberg, Adam Herz (characters)","Eugene Levy, Bug Hall, Kevin M. Horton, Brandon Hardesty","Ten years after the first American Pie movie, three new hapless virgins discover the Bible hidden in the school library at East Great Falls High.","English, French",USA,,https://m.media-amazon.com/images/M/MV5BMjMwODk5MzE4NV5BMl5BanBnXkFtZTgwNzQyNzg5NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",,4.8,"41,633",tt1407050,movie,22 Dec 2009,,Universal Studios Home Video,True
Love,2015,Not Rated,30 Oct 2015,135 min,"Drama, Romance",Gaspar Noé,Gaspar Noé,"Aomi Muyock, Karl Glusman, Klara Kristin, Ugo Fox","Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.","English, French","France, Belgium",2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTQzNDUwODk5NF5BMl5BanBnXkFtZTgwNzA0MDQ2NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.1,"40,472",tt3774694,movie,15 Mar 2016,"$176,061",Alchemy,True
Capitalism: A Love Story,2009,R,02 Oct 2009,127 min,"Documentary, Crime, News",Michael Moore,Michael Moore,"William Black, Jimmy Carter, Elijah Cummings, Marcus Haupt",An examination of the social costs of corporate interests pursuing profits at the expense of the public good.,"English, Russian, Spanish",USA,4 wins & 12 nominations.,https://m.media-amazon.com/images/M/MV5BMTYyMTA2MTE4NF5BMl5BanBnXkFtZTcwNTgwMDE4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,7.4,"40,021",tt1232207,movie,09 Mar 2010,"$14,342,792",Overture Films,True
Endless Love,2014,PG-13,14 Feb 2014,104 min,"Drama, Romance",Shana Feste,"Shana Feste (screenplay), Joshua Safran (screenplay), Scott Spencer (book)","Alex Pettyfer, Gabriella Wilde, Bruce Greenwood, Joely Richardson",The story of a privileged girl and a charismatic boy whose instant desire sparks a love affair made only more reckless by parents trying to keep them apart.,English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BOTYzNDU1MzEyN15BMl5BanBnXkFtZTgwOTYwMTU0MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30,6.3,"38,960",tt2318092,movie,27 May 2014,,Universal Pictures,True
Down with Love,2003,PG-13,16 May 2003,101 min,"Comedy, Romance",Peyton Reed,"Eve Ahlert, Dennis Drake","Renée Zellweger, Ewan McGregor, Sarah Paulson, David Hyde Pierce","In 1962 New York City, love blossoms between a playboy journalist and a feminist advice author.",English,"USA, Germany",4 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BYjY0OTMyNmMtODEwZS00ZWJiLWI0ZjctNmNiNmJjMTMzYWM1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.2,"38,192",tt0309530,movie,07 Oct 2003,"$20,186,516",20th Century Fox,True
Sea of Love,1989,R,15 Sep 1989,113 min,"Crime, Drama, Mystery, Romance, Thriller",Harold Becker,Richard Price,"Al Pacino, Ellen Barkin, John Goodman, Michael Rooker",A detective investigating a series of murders becomes involved with a woman who may be the culprit.,English,"USA, Canada",Nominated for 1 Golden Globe. Another 3 nominations.,https://m.media-amazon.com/images/M/MV5BYjk5MTY0NTYtZTgzMi00NjVlLTk5ZWUtZWNmODUyYTkyNTQ0XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.8,"35,727",tt0098273,movie,26 May 1998,,MCA Universal Home Video,True
Everyone Says I Love You,1996,R,17 Jan 1997,101 min,"Comedy, Musical, Romance",Woody Allen,Woody Allen,"Edward Norton, Drew Barrymore, Diva Gray, Ami Almendral",A New York girl sets her father up with a beautiful woman in a troubled marriage while her stepsister gets engaged.,"English, French, Italian, Hindi",USA,Nominated for 1 Golden Globe. Another 11 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BY2UwYzY1YjUtNmQxNS00MDIzLTkxMzktNTU5YTBiY2M5MWIwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDQzMDg4Nzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}]",,6.7,"34,091",tt0116242,movie,17 Aug 1999,,Sweetland Films,True
Love and Death,1975,PG,28 Aug 1975,85 min,"Comedy, War",Woody Allen,Woody Allen,"Woody Allen, Diane Keaton, Georges Adet, Robinson Frank Adu","In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTYxMDk1NTA5NF5BMl5BanBnXkFtZTcwNDkzNzA2NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",89,7.7,"33,643",tt0073312,movie,05 Jul 2000,,United Artists,True
Love,2015,Not Rated,30 Oct 2015,135 min,"Drama, Romance",Gaspar Noé,Gaspar Noé,"Aomi Muyock, Karl Glusman, Klara Kristin, Ugo Fox","Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.","English, French","France, Belgium",2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTQzNDUwODk5NF5BMl5BanBnXkFtZTgwNzA0MDQ2NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.1,"40,472",tt3774694,movie,15 Mar 2016,"$176,061",Alchemy,True
"I Love You, Beth Cooper",2009,PG-13,10 Jul 2009,102 min,"Comedy, Romance",Chris Columbus,"Larry Doyle (screenplay), Larry Doyle (novel)","Hayden Panettiere, Paul Rust, Jack Carpenter, Lauren London","A nerdy valedictorian proclaims his love for Beth Cooper--the hottest, most popular girl in school--during his graduation speech. That very night, she shows up at his door offering to show him the best night of his life.",English,"Canada, USA",1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTgyNTc2NDM3NF5BMl5BanBnXkFtZTcwNjU3Mzg0Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,5.3,"32,382",tt1032815,movie,03 Nov 2009,"$14,800,000",20th Century Fox,True
