	Name	Mana Cost	CMC	Colors	Type	Rarity	Set	Text	Power	Toughness	Loyalty	Brussels	Nagoya	Phoenix	Total
10	Dispel	{U}	1.0	['Blue']	Instant	Common	BFZ	Counter target instant spell.	Not a Creature	Not a Creature	Not a Planeswalker	1	2	2	5
11	Dreadbore	{B}{R}	2.0	['Black', 'Red']	Sorcery	Rare	RTR	Destroy target creature or planeswalker.	Not a Creature	Not a Creature	Not a Planeswalker	31	19	7	57
12	Ethereal Armor	{W}	1.0	['White']	Enchantment — Aura	Common	RTR	"Enchant creature
Enchanted creature gets +1/+1 for each enchantment you control and has first strike."	Not a Creature	Not a Creature	Not a Planeswalker	0	12	12	24
13	Forest		0.0	[]	Basic Land — Forest	Common	RTR	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
14	Forest		0.0	[]	Basic Land — Forest	Common	RTR	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
15	Forest		0.0	[]	Basic Land — Forest	Common	RTR	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
16	Forest		0.0	[]	Basic Land — Forest	Common	RTR	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
17	Forest		0.0	[]	Basic Land — Forest	Common	RTR	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
18	Forest		0.0	[]	Basic Land — Forest	Common	M14	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
19	Forest		0.0	[]	Basic Land — Forest	Common	M14	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
20	Forest		0.0	[]	Basic Land — Forest	Common	M14	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
21	Forest		0.0	[]	Basic Land — Forest	Common	M14	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
22	Forest		0.0	[]	Basic Land — Forest	Common	THS	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
23	Forest		0.0	[]	Basic Land — Forest	Common	THS	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
24	Forest		0.0	[]	Basic Land — Forest	Common	THS	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
25	Forest		0.0	[]	Basic Land — Forest	Common	THS	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
26	Forest		0.0	[]	Basic Land — Forest	Common	M15	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
27	Forest		0.0	[]	Basic Land — Forest	Common	M15	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
28	Forest		0.0	[]	Basic Land — Forest	Common	M15	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
29	Forest		0.0	[]	Basic Land — Forest	Common	M15	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
30	Forest		0.0	[]	Basic Land — Forest	Common	KTK	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
31	Forest		0.0	[]	Basic Land — Forest	Common	KTK	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
32	Forest		0.0	[]	Basic Land — Forest	Common	KTK	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
33	Forest		0.0	[]	Basic Land — Forest	Common	KTK	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
34	Forest		0.0	[]	Basic Land — Forest	Common	FRF	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
35	Forest		0.0	[]	Basic Land — Forest	Common	FRF	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
36	Forest		0.0	[]	Basic Land — Forest	Common	DTK	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
37	Forest		0.0	[]	Basic Land — Forest	Common	DTK	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
38	Forest		0.0	[]	Basic Land — Forest	Common	DTK	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
39	Forest		0.0	[]	Basic Land — Forest	Common	ORI	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
40	Forest		0.0	[]	Basic Land — Forest	Common	ORI	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
41	Forest		0.0	[]	Basic Land — Forest	Common	ORI	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
42	Forest		0.0	[]	Basic Land — Forest	Common	ORI	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
43	Forest		0.0	[]	Basic Land — Forest	Common	BFZ	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
44	Forest		0.0	[]	Basic Land — Forest	Common	BFZ	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
45	Forest		0.0	[]	Basic Land — Forest	Common	BFZ	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
46	Forest		0.0	[]	Basic Land — Forest	Common	BFZ	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
47	Forest		0.0	[]	Basic Land — Forest	Common	BFZ	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
48	Forest		0.0	[]	Basic Land — Forest	Common	BFZ	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
49	Forest		0.0	[]	Basic Land — Forest	Common	BFZ	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
50	Forest		0.0	[]	Basic Land — Forest	Common	BFZ	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
51	Forest		0.0	[]	Basic Land — Forest	Common	BFZ	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
52	Forest		0.0	[]	Basic Land — Forest	Common	BFZ	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
53	Forest		0.0	[]	Basic Land — Forest	Common	SOI	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
54	Forest		0.0	[]	Basic Land — Forest	Common	SOI	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
55	Forest		0.0	[]	Basic Land — Forest	Common	SOI	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
56	Forest		0.0	[]	Basic Land — Forest	Common	KLD	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
57	Forest		0.0	[]	Basic Land — Forest	Common	KLD	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
58	Forest		0.0	[]	Basic Land — Forest	Common	KLD	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
59	Forest		0.0	[]	Basic Land — Forest	Common	AKH	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
60	Forest		0.0	[]	Basic Land — Forest	Common	AKH	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
61	Forest		0.0	[]	Basic Land — Forest	Common	AKH	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
62	Forest		0.0	[]	Basic Land — Forest	Common	AKH	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
63	Forest		0.0	[]	Basic Land — Forest	Common	HOU	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
64	Forest		0.0	[]	Basic Land — Forest	Common	HOU	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
65	Forest		0.0	[]	Basic Land — Forest	Common	HOU	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
66	Forest		0.0	[]	Basic Land — Forest	Common	XLN	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
67	Forest		0.0	[]	Basic Land — Forest	Common	XLN	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
68	Forest		0.0	[]	Basic Land — Forest	Common	XLN	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
69	Forest		0.0	[]	Basic Land — Forest	Common	XLN	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
70	Forest		0.0	[]	Basic Land — Forest	Common	RIX	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
71	Forest		0.0	[]	Basic Land — Forest	Common	DOM	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
72	Forest		0.0	[]	Basic Land — Forest	Common	DOM	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
73	Forest		0.0	[]	Basic Land — Forest	Common	DOM	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
74	Forest		0.0	[]	Basic Land — Forest	Common	DOM	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
75	Forest		0.0	[]	Basic Land — Forest	Common	M19	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
76	Forest		0.0	[]	Basic Land — Forest	Common	M19	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
77	Forest		0.0	[]	Basic Land — Forest	Common	M19	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
78	Forest		0.0	[]	Basic Land — Forest	Common	M19	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
79	Forest		0.0	[]	Basic Land — Forest	Common	GRN	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
80	Forest		0.0	[]	Basic Land — Forest	Common	RNA	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
81	Forest		0.0	[]	Basic Land — Forest	Common	WAR	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
82	Forest		0.0	[]	Basic Land — Forest	Common	WAR	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
83	Forest		0.0	[]	Basic Land — Forest	Common	WAR	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
84	Forest		0.0	[]	Basic Land — Forest	Common	M20	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
85	Forest		0.0	[]	Basic Land — Forest	Common	M20	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
86	Forest		0.0	[]	Basic Land — Forest	Common	M20	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
87	Forest		0.0	[]	Basic Land — Forest	Common	M20	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
88	Forest		0.0	[]	Basic Land — Forest	Common	ELD	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
89	Forest		0.0	[]	Basic Land — Forest	Common	ELD	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
90	Forest		0.0	[]	Basic Land — Forest	Common	ELD	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
91	Forest		0.0	[]	Basic Land — Forest	Common	ELD	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
92	Forest		0.0	[]	Basic Land — Forest	Common	THB	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
93	Forest		0.0	[]	Basic Land — Forest	Common	THB	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
94	Forest		0.0	[]	Basic Land — Forest	Common	THB	({T}: Add {G}.)	Not a Creature	Not a Creature	Not a Planeswalker	472	182	181	835
95	Frostburn Weird	{U/R}{U/R}	2.0	['Red', 'Blue']	Creature — Weird	Common	RTR	{U/R}: Frostburn Weird gets +1/-1 until end of turn.	1	4	Not a Planeswalker	0	1	0	1
96	Golgari Charm	{B}{G}	2.0	['Black', 'Green']	Instant	Uncommon	RTR	"Choose one —
• All creatures get -1/-1 until end of turn.
• Destroy target enchantment.
• Regenerate each creature you control."	Not a Creature	Not a Creature	Not a Planeswalker	2	0	0	2
97	Grisly Salvage	{B}{G}	2.0	['Black', 'Green']	Instant	Common	RTR	Reveal the top five cards of your library. You may put a creature or land card from among them into your hand. Put the rest into your graveyard.	Not a Creature	Not a Creature	Not a Planeswalker	48	4	120	172
98	Hallowed Fountain		0.0	[]	Land — Plains Island	Rare	RTR	"({T}: Add {W} or {U}.)
As Hallowed Fountain enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."	Not a Creature	Not a Creature	Not a Planeswalker	326	144	275	745
99	Hallowed Fountain		0.0	[]	Land — Plains Island	Rare	RNA	"({T}: Add {W} or {U}.)
As Hallowed Fountain enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."	Not a Creature	Not a Creature	Not a Planeswalker	326	144	275	745
100	Island		0.0	[]	Basic Land — Island	Common	RTR	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
101	Island		0.0	[]	Basic Land — Island	Common	RTR	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
102	Island		0.0	[]	Basic Land — Island	Common	RTR	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
103	Island		0.0	[]	Basic Land — Island	Common	RTR	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
104	Island		0.0	[]	Basic Land — Island	Common	RTR	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
105	Island		0.0	[]	Basic Land — Island	Common	M14	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
106	Island		0.0	[]	Basic Land — Island	Common	M14	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
107	Island		0.0	[]	Basic Land — Island	Common	M14	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
108	Island		0.0	[]	Basic Land — Island	Common	M14	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
109	Island		0.0	[]	Basic Land — Island	Common	THS	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
110	Island		0.0	[]	Basic Land — Island	Common	THS	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
111	Island		0.0	[]	Basic Land — Island	Common	THS	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
112	Island		0.0	[]	Basic Land — Island	Common	THS	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
113	Island		0.0	[]	Basic Land — Island	Common	M15	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
114	Island		0.0	[]	Basic Land — Island	Common	M15	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
115	Island		0.0	[]	Basic Land — Island	Common	M15	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
116	Island		0.0	[]	Basic Land — Island	Common	M15	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
117	Island		0.0	[]	Basic Land — Island	Common	KTK	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
118	Island		0.0	[]	Basic Land — Island	Common	KTK	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
119	Island		0.0	[]	Basic Land — Island	Common	KTK	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
120	Island		0.0	[]	Basic Land — Island	Common	KTK	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
121	Island		0.0	[]	Basic Land — Island	Common	FRF	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
122	Island		0.0	[]	Basic Land — Island	Common	FRF	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
123	Island		0.0	[]	Basic Land — Island	Common	DTK	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
124	Island		0.0	[]	Basic Land — Island	Common	DTK	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
125	Island		0.0	[]	Basic Land — Island	Common	DTK	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
126	Island		0.0	[]	Basic Land — Island	Common	ORI	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
127	Island		0.0	[]	Basic Land — Island	Common	ORI	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
128	Island		0.0	[]	Basic Land — Island	Common	ORI	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
129	Island		0.0	[]	Basic Land — Island	Common	ORI	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
130	Island		0.0	[]	Basic Land — Island	Common	BFZ	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
131	Island		0.0	[]	Basic Land — Island	Common	BFZ	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
132	Island		0.0	[]	Basic Land — Island	Common	BFZ	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
133	Island		0.0	[]	Basic Land — Island	Common	BFZ	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
134	Island		0.0	[]	Basic Land — Island	Common	BFZ	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
135	Island		0.0	[]	Basic Land — Island	Common	BFZ	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
136	Island		0.0	[]	Basic Land — Island	Common	BFZ	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
137	Island		0.0	[]	Basic Land — Island	Common	BFZ	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
138	Island		0.0	[]	Basic Land — Island	Common	BFZ	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
139	Island		0.0	[]	Basic Land — Island	Common	BFZ	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
140	Island		0.0	[]	Basic Land — Island	Common	SOI	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
141	Island		0.0	[]	Basic Land — Island	Common	SOI	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
142	Island		0.0	[]	Basic Land — Island	Common	SOI	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
143	Island		0.0	[]	Basic Land — Island	Common	KLD	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
144	Island		0.0	[]	Basic Land — Island	Common	KLD	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
145	Island		0.0	[]	Basic Land — Island	Common	KLD	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
146	Island		0.0	[]	Basic Land — Island	Common	AKH	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
147	Island		0.0	[]	Basic Land — Island	Common	AKH	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
148	Island		0.0	[]	Basic Land — Island	Common	AKH	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
149	Island		0.0	[]	Basic Land — Island	Common	AKH	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
150	Island		0.0	[]	Basic Land — Island	Common	HOU	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
151	Island		0.0	[]	Basic Land — Island	Common	HOU	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
152	Island		0.0	[]	Basic Land — Island	Common	HOU	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
153	Island		0.0	[]	Basic Land — Island	Common	XLN	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
154	Island		0.0	[]	Basic Land — Island	Common	XLN	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
155	Island		0.0	[]	Basic Land — Island	Common	XLN	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
156	Island		0.0	[]	Basic Land — Island	Common	XLN	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
157	Island		0.0	[]	Basic Land — Island	Common	RIX	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
158	Island		0.0	[]	Basic Land — Island	Common	DOM	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
159	Island		0.0	[]	Basic Land — Island	Common	DOM	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
160	Island		0.0	[]	Basic Land — Island	Common	DOM	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
161	Island		0.0	[]	Basic Land — Island	Common	DOM	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
162	Island		0.0	[]	Basic Land — Island	Common	M19	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
163	Island		0.0	[]	Basic Land — Island	Common	M19	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
164	Island		0.0	[]	Basic Land — Island	Common	M19	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
165	Island		0.0	[]	Basic Land — Island	Common	M19	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
166	Island		0.0	[]	Basic Land — Island	Common	GRN	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
167	Island		0.0	[]	Basic Land — Island	Common	RNA	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
168	Island		0.0	[]	Basic Land — Island	Common	WAR	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
169	Island		0.0	[]	Basic Land — Island	Common	WAR	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
170	Island		0.0	[]	Basic Land — Island	Common	WAR	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
171	Island		0.0	[]	Basic Land — Island	Common	M20	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
172	Island		0.0	[]	Basic Land — Island	Common	M20	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
173	Island		0.0	[]	Basic Land — Island	Common	M20	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
174	Island		0.0	[]	Basic Land — Island	Common	M20	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
175	Island		0.0	[]	Basic Land — Island	Common	ELD	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
176	Island		0.0	[]	Basic Land — Island	Common	ELD	({T}: Add {U}.)	Not a Creature	Not a Creature	Not a Planeswalker	838	436	736	2010
