arrest_stats_id,team,team_name,team_preffered_name,team_city,team_conference,team_division,name,position,position_name,position_type,category,crime_category,description,outcome,season,arrestseasonstate,month,day,day_of_week
500,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Adam Jones,CB,Cornerback,D,Public intoxication,Alcohol / Disorderly,"Accused of being drunk, shouting profanities and arguing with a woman outside club in Tennessee.",Charges dropped on the condition he stays out trouble for six months.,2006,OffSeason,8,25,Friday
534,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Adam Jones,CB,Cornerback,D,Drugs,Drugs,Accused of smoking marijuana after he emerged from Corvette reeking of marijuana. Officers were serving a warrant on his home in Georgia.,Charge dropped.,2006,OffSeason,3,23,Thursday
541,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Adam Jones,CB,Cornerback,D,Drugs,Drugs,"Accused of throwing a punch at an officer and marijuana possession in Fayetteville, Ga. He had been in his parked Bentley.","Pleaded no contest to obstructing police, three years of probation, $500 fine.",2006,OffSeason,2,6,Monday
568,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Adam Jones,CB,Cornerback,D,Assault,Assault / Battery,Accused of assault and vandalism after being asked to leave club in Nashville.,Charges dropped after nightclub manager said he didn't want to pursue it.,2005,OffSeason,7,13,Wednesday
488,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Robert Reynolds,LB,Linebacker,D,Domestic violence,Domestic Violence,"Charged with domestic violence and criminal damaging in a dispute with his wife, whom he was divorcing.","Pleaded guilty to smashing cell phone and punching hole in a wall, $300 fine.",2006,InSeason,10,26,Thursday
314,MIA,Dolphins,Miami Dolphins,Miami,AFC,East,Randy Starks,DE,Defensive End,D,Assault,Assault / Battery,"Arrested after allegedly swerving his vehicle to strike a police officer on foot and pin him up against another car. Charged with aggravated battery in Miami, Fl.","Convicted of misdemeanor traffic violation, eight-hour traffic course, $219 fine.",2009,OffSeason,5,24,Sunday
502,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Randy Starks,DT,Defensive Tackle,D,Domestic violence,Domestic Violence,"Accused of beating fiancee, who lost some fingernails in the scuffle.",Diversion program. Charge dropped if he undergoes counseling.,2006,OffSeason,8,12,Saturday
508,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Cortland Finnegan,CB,Cornerback,D,DUI,DUI,"Pulled over, refused breath test and accused of drunk driving.","Pleaded guilty to reckless driving, six-month suspended sentence, 20 hours of community service.",2006,OffSeason,6,23,Friday
219,WAS,Redskins,Washington Redskins,Washington DC,NFC,East,Albert Haynesworth,DT,Defensive Tackle,D,Sex,Sex,Charged with misdemeanor sexual abuse for allegedly fondling the breast of a worker in a Washington restaurant.,Pleaded no contest to simple assault.,2011,OffSeason,4,26,Tuesday
234,WAS,Redskins,Washington Redskins,Washington DC,NFC,East,Albert Haynesworth,DT,Defensive Tackle,D,Assault,Assault / Battery,Accused of punching motorist in Virginia in traffic altercation after the alleged victim made gesture at Haynesworth for tailgaiting.,Charge dropped after settlement with alleged victim.,2011,OffSeason,2,2,Wednesday
327,WAS,Redskins,Washington Redskins,Washington DC,NFC,East,Albert Haynesworth,DT,Defensive Tackle,D,Reckless driving,License / Traffic,Grand jury indicted him on charges of misdemeanor reckless driving and expired registration. Accused of causing Dec. 13 accident that caused another motorist to crash.,"Pleaded no contest, three months of probation, 25 hours community service.",2009,OffSeason,3,11,Wednesday
524,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Albert Haynesworth,DT,Defensive Tackle,D,Reckless driving,License / Traffic,Warrant issued after anoter motorist said Haynesworth tried to run him off the road with his truck.,Charge dropped.,2006,OffSeason,5,12,Friday
580,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Tyrone Calico,WR,Wide Receiver,O,Sex,Sex,Accused of having sex with a woman in the back seat of his Escalade.,Charge dropped.,2005,OffSeason,5,12,Thursday
584,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Brad Hopkins,OT,Offensive Tackle,O,Domestic violence,Domestic Violence,Accused of assaulting his wife.,"Pleaded guilty, one year probation, $10,000 donation to charity, anger management course, one-game suspension.",2005,OffSeason,3,14,Monday
588,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Tank Williams,S,Safety,D,DUI,DUI,"Pulled over in Nashville after police said he failed to fully stop at stop sign, accused of drunken driving.","Pleaded guilty to reckless endangerment, required to complete alcohol safety program.",2005,OffSeason,2,17,Thursday
589,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Samari Rolle,CB,Cornerback,D,Domestic violence,Domestic Violence,"In Valentine's Day dispute with his wife, he was accused of assaulting here. She was treated for a cut above her eye.","Diversion program, $10,000 donation to battered women, counseling and probation.",2005,OffSeason,2,14,Monday
630,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Jason Gesser,QB,Quarterback,O,DUI,DUI,"Pulled over in Honululu for running a red light, accused of drunk driving.","Pleaded guilty, 14 hours of alcohol abuse classes, $150 fine, $307 in court fees, 30-day license suspension.",2004,OffSeason,2,15,Sunday
449,BAL,Ravens,Baltimore Ravens,Baltimore,AFC,North,Steve McNair,QB,Quarterback,O,DUI,DUI,"Pulled over for speeding, charged with being owner of car driven by drunk driver. McNair was a passenger in the car he owned.",Charge dropped after driver pleaded guilty to reckless driving.,2007,OffSeason,5,9,Wednesday
662,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Steve McNair,QB,Quarterback,O,"DUI, gun",DUI,"Pulled over in Nashville, accused of drunk driving. Police also found pistol in his Lincoln Navigator.",Charges dropped after the judge said police didn't have sufficient reason to stop him.,2003,OffSeason,5,22,Thursday
794,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Benji Olson,OG,Offensive Guard,O,DUI,DUI,"Pulled over at a shopping center in Hopkinsville, Ky., accused of drunk driving. Blood-alcohol measured at .09.","Pleaded to a reduced charge of failing to operate vehicle carefully. Fined $100, plus costs.",2000,OffSeason,2,19,Saturday
65,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Orson Charles,FB,Fullback,O,Gun,Gun,Accused of brandishing gun in car in apparent road rage incident.,Resolution undetermined.,2014,OffSeason,3,31,Monday
139,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Andre Smith,OT,Offensive Tackle,O,Gun,Gun,Accused of bringing loaded .38 pistol in carry-on bag at the Atlanta airport.,Resolution undetermined.,2013,OffSeason,1,17,Thursday
142,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Robert Sands,S,Safety,D,Domestic violence,Domestic Violence,"Accused of assaulting his wife at their home in Florence, Ky. Wife treated at hospital for minor injuries.",Released by team in June.,2013,OffSeason,1,4,Friday
875,MIA,Dolphins,Miami Dolphins,Miami,AFC,East,Rey Maualuga,LB,Linebacker,D,Battery,Assault / Battery,"ESPN confirmed that court records in Miami-Dade County show an open battery case against Maualuga, though no other information was listed about that matter on Saturday.",Waived from team same day.,2017,InSeason,11,18,Saturday
185,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Rey Maualuga,LB,Linebacker,D,Assault,Assault / Battery,Charged with misdemeanor assault after bar employee said Maualuga hit him in the face.,Charged dropped after private mediation.,2012,OffSeason,2,5,Sunday
286,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Rey Maualuga,LB,Linebacker,D,DUI,DUI,"Charged with drunk driving in Covington, Ky., after police said he struck two parked vehicles and parking meter. Blood-alcohol .157.","Pleaded guilty, suspended seven-day sentence, two days' probation. NFL fined him for two games.",2010,OffSeason,1,29,Friday
51,MIN,Vikings,Minnesota Vikings,Minneapolis,NFC,North,Jerome Simpson,WR,Wide Receiver,O,Drugs,Drugs,"Pulled over and suspected of marijuana possession, open container and violating terms of his driver's license.",Resolution undetermined.,2014,OffSeason,7,7,Monday
89,MIN,Vikings,Minnesota Vikings,Minneapolis,NFC,North,Jerome Simpson,WR,Wide Receiver,O,DUI,DUI,Accused of drunk driving after police responded to a report of a stalled vehicle. He failed sobriety tests.,"Pleaded guilty to careless driving and refusing test, 120 days of community service.",2013,InSeason,11,9,Saturday
189,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Jerome Simpson,WR,Wide Receiver,O,Drugs,Drugs,Accused of marijuana trafficking after 2.5 pounds of it were delivered to his home the previous September.,"Pleaded guilty to felony, 15 days in jail, three years of probation.",2012,OffSeason,1,19,Thursday
204,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Cedric Benson,RB,Running Back,O,Assault,Assault / Battery,"Accused of misdemeanor assault after incident with former male roommate in Travis County, Texas.",Resolution undetermined.,2011,OffSeason,7,17,Sunday
262,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Cedric Benson,RB,Running Back,O,Assault,Assault / Battery,"Charged with misdemeanor assault for a May 30 incident in Austin, Texas, where he allegedly punching a bar employee in the face.","Pleaded no contest, 20-day jail sentence, $4,000 fine.",2010,OffSeason,6,29,Tuesday
371,CHI,Bears,Chicago Bears,Chicago,NFC,North,Cedric Benson,RB,Running Back,O,DUI,DUI,"Accused of running a red light in Austin, Texas, suspected of drunk driving.",Case dropped. Grand jury declined to indict.,2008,OffSeason,6,7,Saturday
377,CHI,Bears,Chicago Bears,Chicago,NFC,North,Cedric Benson,RB,Running Back,O,DUI,DUI,"Accused of boating while intoxicated and resisting arrest on Lake Travis, Texas.",Case dropped. Grand jury declined to indict.,2008,OffSeason,5,3,Saturday
206,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Marvin White,S,Safety,D,Assault,Assault / Battery,Accused of disturbing the peace and being verbally abusive at his child's day care center.,Resolution undetermined.,2011,OffSeason,7,14,Thursday
273,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Maurice Purify,WR,Wide Receiver,O,Disorderly conduct,Alcohol / Disorderly,"Charged with misdemeanor disorderly conduct after scuffle at a Newport, Ky., nightclub.",Charges dropped; one-game NFL suspension under personal conduct policy,2010,OffSeason,5,4,Tuesday
323,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Leon Hall,CB,Cornerback,D,DUI,DUI,Accused of drunken driving after being pulled over after 3 a.m. In Ohio. Breath test showed blood-alcohol content of 0.149.,"Pleaded guilty to reckless operation of a vehicle, 30-day suspended jail sentence, 64 hours community service, $250 fine.",2009,OffSeason,4,5,Sunday
802,SF,49ers,San Francisco 49ers,San Francisco,NFC,West,Ahmad Brooks,LB,Linebacker,D,Sexual battery,Sex,Accused of misdemeanor sexual battery stemming from a December 2014 incident at the home of teammate Ray McDonald.,Resolution undetermined.,2015,OffSeason,8,26,Wednesday
379,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Ahmad Brooks,LB,Linebacker,D,Assault,Assault / Battery,Accused of punching woman in left eye during dispute with neighbor in Kentucky.,Accepted mediation.,2008,OffSeason,5,1,Thursday
388,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Chris Henry,WR,Wide Receiver,O,Assault,Assault / Battery,Accused of punching man and throwing beer bottle out of car window.,Charge dropped.,2008,OffSeason,3,31,Monday
458,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Chris Henry,WR,Wide Receiver,O,License,License / Traffic,"Accused of driving with a suspended license, seat-belt violation and making an improper turn. Vehicle impounded.",Resolution undetermined.,2007,OffSeason,3,21,Wednesday
513,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Chris Henry,WR,Wide Receiver,O,Alcohol,Alcohol / Disorderly,"Accused of providing alcohol to minors in hotel room he rented in Covington, Ky.","Pleaded guilty, two days in jail, with rest of 90-day jail sentence suspended.",2006,OffSeason,6,14,Wednesday
516,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Chris Henry,WR,Wide Receiver,O,DUI,DUI,"Pulled over in Cincinnati for speeding, accused of drunk driving. Blood-alcohol measured at .09.","Pleaded guilty to reckless operation of a vehicle, $250 fine, 30-day suspended sentence.",2006,OffSeason,6,3,Saturday
542,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Chris Henry,WR,Wide Receiver,O,Gun,Gun,"Accused of raising a gun in a fight outside of a club in Orlando, Fla. The gun had been listed as stolen.","Pleaded guilty to concealed weapons charge, 100 hours of community service, two years of probation.",2006,OffSeason,1,28,Saturday
548,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Chris Henry,WR,Wide Receiver,O,Drugs,Drugs,"Pulled over for speeding in Covington, Ky., accused of marijuana possession.","Pleaded guilty, $250 fine, a month in drug rehab.",2005,InSeason,12,15,Thursday
442,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Quincy Wilson,RB,Running Back,O,Disorderly conduct,Alcohol / Disorderly,"Accused of failing to heed police order to disperse from bar, where he was part of a wedding party in West Virginia.",Charge dropped in exchange for staying out of trouble through Dec. 17.,2007,OffSeason,6,17,Sunday
447,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,A.J. Nicholson,LB,Linebacker,D,Domestic,Domestic Violence,"Accused of hitting girlfriend in the eye, but she later recanted her statement, saying she hit herself with a phone.","Diversion program. Charge dropped after 40 hours community service, other programs. Released by team three days later.",2007,OffSeason,5,18,Friday
517,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,A.J. Nicholson,LB,Linebacker,D,Theft,Theft / Burglary,Accused of stealing electronic equipment from former Florida State teammate.,"Pleaded no contest to burglary and theft, two months in a work program, two years of probation",2006,OffSeason,6,1,Thursday
470,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Johnathan Joseph,CB,Cornerback,D,Drugs,Drugs,"Pulled over in Kentucky, where police accused him of marijuana possession in his backpack.",Diversion program.,2007,OffSeason,1,22,Monday
479,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Reggie McNeal,WR,Wide Receiver,O,"Drugs, resisting arrest",Drugs,Accused of unruly behavior and resisting arrested after being denied entrance to Houston nightclub. Police also found sedative in his cigarette.,"Pleaded guilty, probation and fine.",2006,InSeason,12,3,Sunday
496,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Odell Thurman,LB,Linebacker,D,DUI,DUI,"Pulled over, accused of drunk driving.","Pleaded no contest, $250 fine, license suspended, 90-day suspended jail sentence.",2006,InSeason,9,25,Monday
504,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Eric Steinbach,OG,Offensive Guard,O,DUI,DUI,"Accused of drunken boating in Cincinnati, refusing breath test.","Diversion program, 10 hours community service, safe boating class.",2006,OffSeason,8,5,Saturday
506,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Matthias Askew,DT,Defensive Tackle,D,Resisting arrest,Other,"Accused of refusing police orders, parking violations, resisting arrest and obstruction of police business in Cincinnati. He was subdued by Taser.","Acquitted, he also won $500,000 award in civil lawsuit over incident. Cut by team three weeks after incident.",2006,OffSeason,7,22,Saturday
510,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Frostee Rucker,DE,Defensive End,D,Domestic violence,Domestic Violence,Accused of fighting girlfriend at party in Los Angeles.,"Pleaded no contest to vandalism and false imprisonment, three years of probation, 750 hours of community service.",2006,OffSeason,6,21,Wednesday
606,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Justin Smith,DE,Defensive End,D,DUI,DUI,"Pulled over for weaving near Dayton, Ohio, accused of drunk driving. Blood-alcohol content measured at .152.","Pleaded guilty, three-day weekend intervention, $300 fine, $94 in court costs.",2004,InSeason,10,5,Tuesday
631,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Levi Jones,OT,Offensive Tackle,O,Obstruction,Other,Accused of trying to take a baton from a police officer in a melee outside a club in Houston.,Charge dropped.,2004,OffSeason,2,2,Monday
634,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,James Lynch,FB,Fullback,O,Public intoxication,Alcohol / Disorderly,"Accused of public urination, resisting arrest, eluding police and driving with a suspended license. Police used chemical irritant to subdue him.","Pleaded guilty to disorderly conduct, two years of probation, 10 days in jail.",2003,InSeason,12,2,Tuesday
723,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Neil Rackers,K,Kicker,S,Assault,Assault / Battery,"Accused of choking man at a sports bar in Covington, Ky., after the man allegedly insulted Rackers' wife and mother.",Diversion program. Charge dropped in exchange for confidential settlement with victim.,2001,InSeason,12,9,Sunday
737,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Vaughn Booker,DE,Defensive End,D,Domestic violence,Domestic Violence,Accused of pushing wife in argument at the couple's home near Cincinnati.,Charge dropped.,2001,OffSeason,8,31,Friday
738,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Tom Barndt,DT,Defensive Tackle,D,DUI,DUI,"Pulled over in Covington, Ky., accused of drunk driving.",Resolution undetermined. Team released him the next week.,2001,OffSeason,8,26,Sunday
761,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Akili Smith,QB,Quarterback,O,DUI,DUI,"Pulled over for driving the wrong way down a one-way street in San Diego, accused of drunk driving.",Acquitted.,2001,OffSeason,2,8,Thursday
762,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Tremain Mack,S,Safety,D,Probation violation,Other,"Sentenced to a month in jail for probation violation stemming from previous drunk-driving conviction. A TV station filmed him driving, which violated probation.","Guilty, one month in jail.",2001,OffSeason,1,9,Tuesday
770,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Corey Dillon,RB,Running Back,O,Domestic violence,Domestic Violence,"Accused of striking his wife in Washington, fourth-degree assault.","Diversion program, $750 donation to women's shelter, treatment.",2000,OffSeason,8,26,Saturday
776,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Darnay Scott,WR,Wide Receiver,O,Theft,Theft / Burglary,"Accused of writing a back check for more than $5,100 to a motorcycle shop in Florence, Ky.","Charge dropped, but he spent a night in jail and had to pay back the money.",2000,OffSeason,7,20,Thursday
497,LAC,Chargers,Los Angeles Chargers,Los Angeles,AFC,West,Steve Foley,LB,Linebacker,D,DUI,DUI,Shot by off-duty cop who followed him home and suspected him of driving drunk. Blood-alcohol level measured at .16.,"Pleaded guilty to misdemeanor, five years probation, alcohol testing, $1,756 fine. Never played again.",2006,OffSeason,9,3,Sunday
529,LAC,Chargers,Los Angeles Chargers,Los Angeles,AFC,West,Steve Foley,LB,Linebacker,D,"Battery, alcohol",Alcohol / Disorderly,"Officers approached his car and accused him of resisting arrest, public intoxication and battery on officer in scuffle with police.",Charge dropped.,2006,OffSeason,4,21,Friday
787,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Steve Foley,LB,Linebacker,D,Gun,Gun,"Accused of firing gun into the air several times outside nightclub in Monroe, La. Pulled over and arrested, Foley yelled he was being illegal searched.",Charge dropped for lack of evidence.,2000,OffSeason,4,6,Thursday
798,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Steve Foley,LB,Linebacker,D,Domestic violence,Domestic Violence,Accused of kicking in the door of his son's mother and grabbing her by the throat.,Charge dropped after woman declined to cooperate.,2000,OffSeason,2,5,Saturday
909,SF,49ers,San Francisco 49ers,San Francisco,NFC,West,Reuben Foster,LB,Linebacker,D,Domestic Violence,Domestic Violence,Allegedly pushed and slapped a woman in Tampa Florida.,Charges Dropped.,2018,InSeason,11,24,Saturday
885,SF,49ers,San Francisco 49ers,San Francisco,NFC,West,Reuben Foster,LB,Linebacker,D,Domestic Violence,Domestic Violence,"Arrested after a welfare check that lead to a domestic violence arrest and for possessing an assault rifle. He was held in Santa Clara but released after posting $75,000 bail.",Resolution Undetermined.,2018,OffSeason,2,11,Sunday
880,SF,49ers,San Francisco 49ers,San Francisco,NFC,West,Reuben Foster,LB,Linebacker,D,Drugs,Drugs,Arrested for possession of marijuana in Alabama.,Resolution Undetermined.,2018,OffSeason,1,12,Friday
841,SF,49ers,San Francisco 49ers,San Francisco,NFC,West,Tramaine Brock,CB,Cornerback,D,Domestic violence,Domestic Violence,"Suspected of felony domestic violence in Santa Clara, Calif. Officers said female had visible injuries.",Dropped by prosecutors based on insufficient evidence.,2017,OffSeason,4,6,Thursday
821,SF,49ers,San Francisco 49ers,San Francisco,NFC,West,Bruce Miller,TE,Tight End,O,Assault,Assault / Battery,Accused of assaulting a man and his 70-year-old father at hotel in San Francisco.,Resolution undetermined. Team released him same day.,2016,OffSeason,9,5,Monday
15,SF,49ers,San Francisco 49ers,San Francisco,NFC,West,Bruce Miller,FB,Fullback,O,Domestic violence,Domestic Violence,"Suspected of misdemeanor battery in domestic incident in Santa Clara, Calif.","Pleaded no contest to misdemeanor domestic violence charge, 16 weeks of counseling.",2015,OffSeason,3,5,Thursday
890,OAK,Raiders,Oakland Raiders,Oakland,AFC,West,Aldon Smith,LB,Linebacker,D,Domestic Violence,Domestic Violence,Smith allegedly fled the scene of a domestic incident in which the victim suffered non-life-threating injuries.,Resolution Undetermined. Team cut him within 2 days,2018,OffSeason,3,3,Saturday
